94.4 101.62 1040
0 299.43 0.6785 0
0.00859 299.41 0.6787 0
0.01409 299.35 0.6791 0
0.0194 299.3 0.6793 0
0.0248 299.25 0.6796 0
0.02994 299.2 0.6797 0
0.0349 299.15 0.6795 0
0.04015 299.09 0.6789 0
0.04548 299.04 0.6778 0
0.0509 298.99 0.6762 0
0.05616 298.94 0.6743 0
0.06155 298.88 0.672 0
0.06684 298.83 0.6699 0
0.07219 298.78 0.6681 0
0.07751 298.73 0.6665 0
0.08308 298.67 0.6653 0
0.08851 298.62 0.6644 0
0.09386 298.57 0.6637 0
0.0991 298.51 0.6633 0
0.1046 298.46 0.6637 0
0.11004 298.4 0.6647 0
0.11539 298.35 0.6665 0
0.1209 298.29 0.669 0
0.12615 298.24 0.6719 0
0.13138 298.18 0.6754 0
0.13657 298.13 0.6791 0
0.14205 298.07 0.6833 0
0.14746 298.02 0.6873 0
0.15288 297.97 0.6913 0
0.15819 297.91 0.695 0
0.16371 297.86 0.6985 0
0.16913 297.8 0.7017 0
0.17453 297.75 0.7046 0
0.17978 297.7 0.7071 0
0.18525 297.65 0.7095 0
0.19065 297.59 0.7115 0
0.196 297.54 0.7135 0
0.20157 297.49 0.7154 0
0.20699 297.43 0.7171 0
0.21238 297.38 0.7188 0
0.21765 297.33 0.7201 0
0.22316 297.27 0.7215 0
0.22863 297.22 0.7227 0
0.23417 297.17 0.7238 0
0.23968 297.11 0.7249 0
0.24536 297.06 0.7262 0
0.25078 297.01 0.7277 0
0.25609 296.96 0.7292 0
0.26127 296.91 0.7307 0
0.26665 296.86 0.7322 0
0.27193 296.81 0.7337 0
0.27711 296.76 0.7351 0
0.28252 296.71 0.7365 0
0.28786 296.66 0.7378 0
0.29321 296.61 0.7391 0
0.29847 296.57 0.7404 0
0.30394 296.52 0.7419 0
0.30927 296.47 0.7432 0
0.31454 296.42 0.7445 0
0.31966 296.37 0.7457 0
0.32502 296.32 0.747 0
0.33033 296.27 0.7484 0
0.33565 296.22 0.7501 0
0.34082 296.17 0.7522 0
0.34617 296.11 0.7553 0
0.3514 296.06 0.7589 0
0.35653 296.01 0.7627 0
0.3619 295.95 0.7663 0
0.36722 295.9 0.7694 0
0.37262 295.85 0.772 0
0.37796 295.8 0.774 0
0.38355 295.75 0.7754 0
0.38902 295.7 0.7762 0
0.39444 295.65 0.7766 0
0.39971 295.6 0.7766 0
0.40523 295.55 0.7763 0
0.41061 295.51 0.7761 0
0.41583 295.46 0.7759 0
0.42079 295.42 0.7761 0
0.42591 295.37 0.7764 0
0.43098 295.33 0.7766 0
0.43607 295.29 0.7765 0
0.44146 295.24 0.776 0
0.44677 295.2 0.7751 0
0.45205 295.16 0.7738 0
0.45724 295.13 0.7724 0
0.4627 295.09 0.7711 0
0.4681 295.05 0.77 0
0.47351 295.01 0.7695 0
0.47886 294.97 0.7693 0
0.48451 294.94 0.769 0
0.49003 294.9 0.7686 0
0.49541 294.86 0.7679 0
0.50059 294.82 0.767 0
0.50596 294.77 0.7663 0
0.51124 294.73 0.7659 0
0.51639 294.68 0.7658 0
0.52171 294.64 0.7663 0
0.52692 294.59 0.7673 0
0.5321 294.54 0.7688 0
0.53711 294.49 0.7707 0
0.54228 294.44 0.7728 0
0.54745 294.4 0.7751 0
0.55277 294.35 0.7771 0
0.55806 294.31 0.7789 0
0.56361 294.26 0.7805 0
0.56906 294.22 0.7816 0
0.57453 294.18 0.7821 0
0.5799 294.14 0.7818 0
0.58545 294.11 0.7802 0
0.59077 294.07 0.7776 0
0.5958 294.04 0.7743 0
0.60094 294.01 0.7703 0
0.60604 293.98 0.7661 0
0.61129 293.95 0.7619 0
0.61662 293.93 0.7575 0
0.62225 293.91 0.7524 0
0.62767 293.89 0.7466 0
0.63822 293.87 0.7315 0
0.64371 293.86 0.7217 0
0.64914 293.86 0.7109 0
0.65459 293.87 0.6991 0
0.65993 293.87 0.6867 0
0.66543 293.88 0.6733 0
0.67072 293.89 0.6598 0
0.6758 293.9 0.6459 0
0.68109 293.91 0.631 0
0.69178 293.93 0.6021 0
0.69718 293.94 0.5886 0
0.70274 293.94 0.5754 0
0.70802 293.93 0.5639 0
0.71321 293.93 0.5543 0
0.71834 293.92 0.5468 0
0.72374 293.9 0.5408 0
0.7291 293.89 0.5366 0
0.73446 293.87 0.5337 0
0.73962 293.85 0.532 0
0.74493 293.82 0.5312 0
0.75016 293.8 0.5313 0
0.75529 293.77 0.5322 0
0.7606 293.74 0.5339 0
0.76579 293.7 0.5361 0
0.77107 293.67 0.5388 0
0.77633 293.63 0.5419 0
0.78177 293.59 0.5456 0
0.78701 293.55 0.5495 0
0.7921 293.5 0.5538 0
0.797 293.46 0.5581 0
0.80219 293.42 0.563 0
0.80751 293.37 0.5679 0
0.81301 293.32 0.5732 0
0.81846 293.27 0.5784 0
0.82415 293.23 0.5839 0
0.82969 293.18 0.5891 0
0.83509 293.13 0.594 0
0.84071 293.08 0.599 0
0.8462 293.04 0.6038 0
0.85166 292.99 0.6088 0
0.8569 292.95 0.6139 0
0.86214 292.9 0.6197 0
0.86711 292.86 0.6255 0
0.87207 292.82 0.6313 0
0.87702 292.78 0.6365 0
0.88237 292.74 0.6413 0
0.88779 292.7 0.6452 0
0.89324 292.66 0.6483 0
0.89854 292.62 0.6506 0
0.90409 292.58 0.6524 0
0.9096 292.55 0.6536 0
0.91501 292.51 0.6545 0
0.9206 292.48 0.6551 0
0.92608 292.45 0.6554 0
0.93158 292.41 0.6553 0
0.93702 292.38 0.655 0
0.94236 292.35 0.6542 0
0.94767 292.32 0.6531 0
0.95306 292.29 0.6517 0
0.95849 292.26 0.65 0
0.9639 292.23 0.6481 0
0.9692 292.2 0.6461 0
0.97435 292.17 0.6439 0
0.9794 292.14 0.6415 0
0.98454 292.11 0.6389 0
0.98981 292.08 0.6362 0
0.99517 292.05 0.6331 0
1.0006 292.02 0.6298 0
1.0061 291.98 0.6264 0
1.0116 291.95 0.6232 0
1.0171 291.91 0.6203 0
1.0225 291.87 0.6176 0
1.0278 291.83 0.6151 0
1.0333 291.79 0.6126 0
1.0387 291.75 0.6101 0
1.0442 291.71 0.6077 0
1.0495 291.67 0.6053 0
1.0548 291.63 0.6032 0
1.06 291.6 0.6016 0
1.0651 291.56 0.6004 0
1.0702 291.52 0.5998 0
1.0753 291.49 0.5994 0
1.0804 291.46 0.5991 0
1.0857 291.42 0.5985 0
1.0912 291.39 0.5975 0
1.0966 291.36 0.5961 0
1.1021 291.33 0.5944 0
1.1076 291.29 0.5927 0
1.1131 291.26 0.5912 0
1.1184 291.22 0.5902 0
1.1236 291.18 0.5898 0
1.1288 291.14 0.5901 0
1.1341 291.1 0.5911 0
1.1394 291.06 0.5927 0
1.1449 291.01 0.5947 0
1.1503 290.96 0.5968 0
1.1557 290.92 0.5989 0
1.1611 290.87 0.6009 0
1.1664 290.82 0.6028 0
1.1718 290.77 0.6045 0
1.1773 290.72 0.6061 0
1.1827 290.67 0.6076 0
1.1882 290.62 0.6092 0
1.1935 290.57 0.6109 0
1.1987 290.51 0.6128 0
1.2039 290.46 0.615 0
1.2092 290.41 0.6175 0
1.2146 290.36 0.6204 0
1.2201 290.31 0.6235 0
1.2255 290.26 0.6268 0
1.2309 290.22 0.63 0
1.2362 290.17 0.6329 0
1.2414 290.12 0.6355 0
1.2466 290.07 0.6377 0
1.2517 290.03 0.6396 0
1.2568 289.98 0.6412 0
1.262 289.93 0.6424 0
1.2673 289.89 0.6436 0
1.2727 289.84 0.6447 0
1.2782 289.8 0.6457 0
1.2838 289.76 0.6466 0
1.2895 289.72 0.6473 0
1.2952 289.68 0.6477 0
1.3009 289.65 0.6476 0
1.3065 289.62 0.6468 0
1.3121 289.59 0.6449 0
1.3176 289.57 0.6417 0
1.3229 289.55 0.6368 0
1.3281 289.53 0.6303 0
1.3333 289.51 0.622 0
1.3387 289.49 0.6123 0
1.3441 289.47 0.6018 0
1.3496 289.44 0.5917 0
1.3551 289.41 0.5827 0
1.3606 289.37 0.5758 0
1.366 289.33 0.5711 0
1.3714 289.29 0.5688 0
1.3768 289.25 0.5687 0
1.3822 289.2 0.5707 0
1.3875 289.16 0.5741 0
1.3929 289.11 0.5784 0
1.3983 289.06 0.5833 0
1.4038 289.02 0.5882 0
1.4093 288.98 0.5928 0
1.415 288.93 0.5971 0
1.4206 288.89 0.6007 0
1.426 288.85 0.6033 0
1.4314 288.82 0.6049 0
1.4368 288.78 0.6055 0
1.4423 288.75 0.6052 0
1.4479 288.72 0.6042 0
1.4535 288.69 0.6024 0
1.4591 288.66 0.5998 0
1.4645 288.63 0.5964 0
1.4699 288.6 0.5923 0
1.4754 288.57 0.5878 0
1.4808 288.54 0.5832 0
1.4861 288.51 0.5787 0
1.4914 288.48 0.5746 0
1.4966 288.44 0.571 0
1.5019 288.4 0.5681 0
1.5073 288.37 0.566 0
1.5128 288.33 0.5652 0
1.5184 288.28 0.5659 0
1.524 288.24 0.5686 0
1.5295 288.2 0.5736 0
1.5349 288.15 0.5808 0
1.5402 288.11 0.5901 0
1.5454 288.07 0.601 0
1.5508 288.02 0.6133 0
1.5561 287.98 0.6262 0
1.5614 287.94 0.6397 0
1.5668 287.9 0.6532 0
1.5722 287.86 0.6663 0
1.5778 287.82 0.6783 0
1.5834 287.78 0.6891 0
1.5888 287.74 0.698 0
1.5941 287.71 0.7052 0
1.5994 287.67 0.7109 0
1.6046 287.64 0.7152 0
1.6098 287.61 0.7187 0
1.6151 287.58 0.7218 0
1.6205 287.55 0.725 0
1.626 287.52 0.7286 0
1.6315 287.49 0.7329 0
1.6371 287.47 0.738 0
1.6427 287.45 0.7436 0
1.6483 287.43 0.7493 0
1.654 287.42 0.7544 0
1.6595 287.41 0.7583 0
1.665 287.41 0.7602 0
1.6702 287.4 0.7599 0
1.6755 287.4 0.7573 0
1.6808 287.4 0.7527 0
1.6862 287.4 0.7464 0
1.6917 287.41 0.7386 0
1.6972 287.41 0.7298 0
1.7026 287.41 0.7208 0
1.708 287.41 0.7122 0
1.7134 287.41 0.705 0
1.7187 287.41 0.6998 0
1.7238 287.41 0.6962 0
1.7291 287.42 0.6939 0
1.7346 287.42 0.6919 0
1.7402 287.44 0.6895 0
1.7457 287.45 0.6858 0
1.7512 287.48 0.6796 0
1.7568 287.51 0.6706 0
1.7624 287.54 0.6579 0
1.7679 287.58 0.6421 0
1.7734 287.62 0.624 0
1.7789 287.66 0.6055 0
1.7845 287.71 0.5888 0
1.7901 287.75 0.5756 0
1.7958 287.8 0.5672 0
1.8014 287.84 0.564 0
1.8071 287.88 0.5655 0
1.8127 287.91 0.5705 0
1.8183 287.95 0.5779 0
1.8238 287.99 0.5856 0
1.8293 288.03 0.5919 0
1.8349 288.06 0.5949 0
1.8405 288.1 0.5938 0
1.8517 288.16 0.5781 0
1.8572 288.19 0.5643 0
1.8627 288.22 0.5477 0
1.8683 288.25 0.5296 0
1.8739 288.27 0.5113 0
1.8796 288.28 0.4941 0
1.8853 288.29 0.4797 0
1.8911 288.29 0.4692 0
1.897 288.28 0.4646 0
1.9027 288.27 0.4671 0
1.9084 288.24 0.4778 0
1.914 288.22 0.4966 0
1.9194 288.18 0.5231 0
1.9247 288.14 0.5556 0
1.9301 288.1 0.5913 0
1.9356 288.05 0.6277 0
1.9412 288 0.6623 0
1.9469 287.96 0.6932 0
1.9526 287.91 0.7194 0
1.9584 287.86 0.7402 0
1.9641 287.81 0.756 0
1.9698 287.76 0.7675 0
1.9754 287.71 0.7753 0
1.9809 287.67 0.7805 0
1.9864 287.62 0.7835 0
1.9919 287.58 0.785 0
1.9974 287.53 0.7854 0
2.0029 287.49 0.785 0
2.0085 287.44 0.7843 0
2.014 287.39 0.7837 0
2.0196 287.35 0.7835 0
2.0253 287.3 0.7839 0
2.031 287.25 0.7852 0
2.0369 287.21 0.7871 0
2.0427 287.16 0.7896 0
2.0484 287.11 0.7926 0
2.054 287.07 0.7958 0
2.0596 287.02 0.7992 0
2.0653 286.98 0.8025 0
2.0709 286.94 0.8055 0
2.0766 286.9 0.8079 0
2.0824 286.86 0.8099 0
2.0881 286.81 0.8112 0
2.0939 286.77 0.8119 0
2.0996 286.73 0.8121 0
2.1052 286.69 0.812 0
2.1108 286.65 0.812 0
2.1164 286.61 0.8119 0
2.1221 286.57 0.812 0
2.1279 286.52 0.8124 0
2.1337 286.48 0.813 0
2.1396 286.44 0.8138 0
2.1454 286.4 0.8146 0
2.1512 286.36 0.8154 0
2.1568 286.32 0.816 0
2.1623 286.28 0.8166 0
2.1679 286.24 0.8169 0
2.1737 286.2 0.8172 0
2.1794 286.16 0.8174 0
2.1852 286.12 0.8175 0
2.1908 286.08 0.8176 0
2.1965 286.05 0.8175 0
2.2021 286.02 0.817 0
2.2079 285.99 0.816 0
2.2136 285.96 0.8141 0
2.2194 285.93 0.8115 0
2.2252 285.91 0.808 0
2.2309 285.89 0.8036 0
2.2366 285.87 0.7982 0
2.2422 285.85 0.7921 0
2.2478 285.84 0.7857 0
2.2534 285.83 0.7791 0
2.2591 285.82 0.7729 0
2.2648 285.82 0.7674 0
2.2707 285.82 0.7625 0
2.2765 285.83 0.7579 0
2.2823 285.85 0.7532 0
2.2881 285.88 0.7478 0
2.2939 285.92 0.7408 0
2.2997 285.98 0.7315 0
2.3052 286.05 0.7189 0
2.3107 286.13 0.7022 0
2.3163 286.22 0.6807 0
2.3218 286.32 0.6544 0
2.3276 286.42 0.6237 0
2.3334 286.51 0.5895 0
2.3393 286.61 0.5533 0
2.3453 286.69 0.5171 0
2.3512 286.77 0.4822 0
2.3571 286.84 0.4504 0
2.3629 286.9 0.4226 0
2.3687 286.95 0.3994 0
2.3745 286.99 0.3808 0
2.3803 287.02 0.3661 0
2.3862 287.05 0.3548 0
2.392 287.07 0.3458 0
2.3978 287.09 0.3389 0
2.4035 287.1 0.3334 0
2.4093 287.11 0.3288 0
2.4151 287.12 0.3248 0
2.4211 287.12 0.3212 0
2.4272 287.12 0.3177 0
2.4331 287.12 0.3143 0
2.4389 287.12 0.3109 0
2.4446 287.11 0.3075 0
2.4503 287.1 0.3037 0
2.4561 287.09 0.2996 0
2.462 287.09 0.2949 0
2.468 287.08 0.2897 0
2.4741 287.07 0.2839 0
2.4801 287.05 0.2775 0
2.486 287.04 0.2711 0
2.4919 287.03 0.2649 0
2.4976 287.01 0.2591 0
2.5032 287 0.2539 0
2.509 286.99 0.2494 0
2.5149 286.98 0.2454 0
2.5209 286.98 0.2418 0
2.5271 286.99 0.2383 0
2.5332 287 0.2347 0
2.5392 287.01 0.2306 0
2.545 287.03 0.2257 0
2.5507 287.06 0.2195 0
2.5563 287.09 0.2118 0
2.5621 287.13 0.202 0
2.5679 287.16 0.1901 0
2.5739 287.2 0.1763 0
2.58 287.23 0.1608 0
2.5861 287.25 0.145 0
2.5922 287.27 0.1299 0
2.5983 287.28 0.1165 0
2.6043 287.28 0.1057 0
2.6103 287.28 0.0974 0
2.6162 287.27 0.0916 0
2.6221 287.25 0.0879 0
2.6279 287.23 0.0859 0
2.6338 287.21 0.0852 0
2.6397 287.19 0.0854 0
2.6456 287.17 0.086 0
2.6514 287.15 0.0866 0
2.6574 287.12 0.0871 0
2.6694 287.07 0.0875 0
2.6753 287.04 0.0876 0
2.6812 287.01 0.0875 0
2.687 286.98 0.0874 0
2.6929 286.95 0.0872 0
2.6989 286.92 0.087 0
2.705 286.88 0.0868 0
2.711 286.84 0.0866 0
2.7169 286.8 0.0864 0
2.7228 286.77 0.0863 0
2.7287 286.73 0.0861 0
2.7348 286.7 0.086 0
2.741 286.66 0.0859 0
2.7472 286.64 0.0859 0
2.7533 286.61 0.0858 0
2.7592 286.59 0.0856 0
2.765 286.58 0.0854 0
2.7708 286.56 0.0851 0
2.7767 286.55 0.0847 0
2.7827 286.55 0.0842 0
2.7887 286.54 0.0836 0
2.7947 286.53 0.0827 0
2.8005 286.52 0.0818 0
2.8064 286.51 0.0806 0
2.8126 286.5 0.0793 0
2.8193 286.48 0.0779 0
2.8268 286.45 0.0764 0
2.8353 286.43 0.0749 0
2.8442 286.39 0.0735 0
2.8526 286.36 0.0721 0
2.8599 286.33 0.0709 0
2.8666 286.3 0.0698 0
2.8728 286.28 0.069 0
2.8789 286.25 0.0683 0
2.8849 286.23 0.0679 0
2.8909 286.2 0.0677 0
2.8969 286.18 0.0677 0
2.9028 286.16 0.0679 0
2.9089 286.13 0.0686 0
2.9149 286.11 0.0699 0
2.9208 286.08 0.0718 0
2.9268 286.05 0.0747 0
2.9327 286.02 0.0788 0
2.9387 285.99 0.084 0
2.9449 285.96 0.0903 0
2.9512 285.93 0.0973 0
2.9574 285.89 0.1046 0
2.9636 285.86 0.1113 0
2.9696 285.82 0.1172 0
2.9756 285.79 0.1218 0
2.9814 285.75 0.1252 0
2.9871 285.72 0.1275 0
2.993 285.69 0.1291 0
2.999 285.65 0.1299 0
3.0051 285.62 0.1303 0
3.0112 285.59 0.1301 0
3.0171 285.56 0.1297 0
3.0231 285.53 0.1291 0
3.0292 285.5 0.1284 0
3.0353 285.47 0.1276 0
3.0414 285.44 0.127 0
3.0475 285.41 0.1265 0
3.0536 285.38 0.1261 0
3.0596 285.34 0.1259 0
3.0657 285.31 0.126 0
3.0718 285.28 0.1263 0
3.0778 285.25 0.1268 0
3.0838 285.21 0.1275 0
3.0897 285.18 0.1284 0
3.0957 285.15 0.1294 0
3.1016 285.11 0.1304 0
3.1076 285.08 0.1314 0
3.1136 285.05 0.1321 0
3.1198 285.02 0.1325 0
3.126 284.99 0.1325 0
3.1321 284.96 0.1322 0
3.138 284.93 0.1315 0
3.1439 284.9 0.1303 0
3.1501 284.88 0.1286 0
3.1563 284.86 0.1265 0
3.1625 284.83 0.1238 0
3.1687 284.81 0.1206 0
3.1747 284.79 0.1169 0
3.1807 284.77 0.113 0
3.1867 284.74 0.1091 0
3.1926 284.72 0.1055 0
3.1986 284.69 0.1024 0
3.2046 284.66 0.1 0
3.2107 284.63 0.0984 0
3.2168 284.6 0.0973 0
3.223 284.57 0.0968 0
3.2291 284.54 0.0964 0
3.2353 284.51 0.0963 0
3.2414 284.48 0.0961 0
3.2474 284.44 0.0959 0
3.2532 284.41 0.096 0
3.2589 284.38 0.0965 0
3.2647 284.36 0.0976 0
3.2709 284.33 0.0993 0
3.2779 284.3 0.1014 0
3.2863 284.28 0.1037 0
3.2961 284.25 0.1059 0
3.3058 284.23 0.1079 0
3.3137 284.2 0.1096 0
3.3203 284.18 0.1109 0
3.3263 284.16 0.112 0
3.3321 284.13 0.1128 0
3.3381 284.11 0.1132 0
3.3441 284.08 0.1134 0
3.3502 284.06 0.1131 0
3.3562 284.03 0.1126 0
3.3622 284 0.1121 0
3.3681 283.97 0.1115 0
3.374 283.94 0.1111 0
3.38 283.91 0.1109 0
3.386 283.87 0.1108 0
3.3921 283.84 0.1108 0
3.3982 283.8 0.1106 0
3.4044 283.76 0.1101 0
3.4106 283.73 0.1095 0
