ATTENUATION/DISPERSION FOR   95.00000 GHZ
RAY PATH ANGLE:   0.00 DEGREES FROM ZENITH

INTEGRATED ATTENUATION (DB) :      0.019
INTEGRATED DISPERSION (PS) :      0.000

   HEIGHT    ATTEN    DELAY       PRES     TEMP      RH       LWC      RR
    (KM)    (DB/KM)  (PS/KM)      (KPA)     (K)             (G/M~)  (MM/HR)
   0.049     0.313   -0.641      100.61   279.00   0.650    0.000     0.00
   0.149     0.072   -1.107       99.29   239.00   0.450    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
 *******     0.000    0.000        0.00     0.00   0.000    0.000     0.00
     NaN     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000    0.000        0.00     0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000    0.000        0.00    -0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000    -0.000    0.000        0.00     0.00  -0.000  *******     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000    -0.000   -0.000        0.00     0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00    -0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000    -1.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     9.16
   0.000     0.000    0.000        0.00    -0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000       -0.00     0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000       -0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00    -0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000    -0.000    0.000        0.00    -0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000         NaN     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000       -0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000    -0.000    0.000        0.00     0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00  -0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000       -0.00     0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000       -0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000    -0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000    -0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000   *******    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000         NaN     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
