ATTENUATION/DISPERSION FOR   95.00000 GHZ
RAY PATH ANGLE:   0.00 DEGREES FROM ZENITH

INTEGRATED ATTENUATION (DB) :      0.019
INTEGRATED DISPERSION (PS) :      0.000

   HEIGHT    ATTEN    DELAY       PRES     TEMP      RH       LWC      RR
  -0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000   259.942    0.019        0.00     0.00   0.000    1.255     0.00
   0.600     1.000    0.313        0.05     0.00  ******  279.000     0.65
   0.015    99.286    0.072        0.15     0.00  99.286  239.000     0.45
   0.000     0.000    0.000        0.00    -0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000     *******     0.00   0.000    0.000     0.00
   0.000     0.000    0.000         NaN     0.00   0.000    0.000     0.00
   0.000     0.000    0.000       -0.00     0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000    -0.000    0.000       -0.00     0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000    -0.000   -0.000        0.00     0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000    -0.000   -0.000       -0.00     0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000    -0.000    0.000        0.00     0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00    -1.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     9.16   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000    0.000        0.00    -0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00    -0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000   -0.000        0.00     0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00     NaN    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000    0.000        0.00     0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000   -0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00  -0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000   -0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000   -0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000  *******        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00     NaN    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000    0.000       -0.00     0.00   0.000    0.000     0.00
   0.000     0.000  259.942        0.00     0.00   0.000    0.000     0.00
  -0.641     0.000    1.000        0.60     0.65   0.049    0.000   100.61
  -1.107     0.000   99.286        0.02     0.45   0.149    0.000    99.29
   0.000     0.000    0.000        0.00     0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00  ******    0.000     0.00
   0.000     0.000    0.000        0.00     0.00     NaN    0.000     0.00
   0.000     0.000    0.000        0.00    -0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000   -0.000        0.00     0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000   -0.000        0.00    -0.00   0.000    0.000     0.00
   0.000       NaN    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000   -0.000        0.00    -0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000   -0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000   -1.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    9.160     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000       -0.00     0.00   0.000   -0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000      NaN
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000       -0.00     0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00    -0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00    -0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000      NaN
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000       -0.00     0.00  -0.000    0.000     0.00
   0.019     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.313     0.000    0.000       -0.64   100.61   0.600    0.650     0.05
   0.072     0.000    0.000       -1.11    99.29   0.015    0.450     0.15
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000  *******
   0.000     0.000    0.000        0.00     0.00   0.000    0.000      NaN
   0.000     0.000    0.000        0.00     0.00   0.000   -0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000    0.000        0.00     0.00   0.000   -0.000     0.00
   0.000     0.000      NaN        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000    0.000       -0.00     0.00   0.000   -0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00    -0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00    -0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000    -0.000    0.000        0.00      NaN   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00    -0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     4.348    0.000        0.00    -0.00   0.000   -0.000     0.00
   0.000     0.111    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00    -0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
 *******     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00      NaN   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000       NaN    0.000        0.00     0.00  -0.000    0.000    -0.00
 259.942     0.000    0.000        0.02     0.00   0.000    0.000     0.00
   1.000    -0.000    0.000        0.31     0.05  -0.641  100.607     0.60
  99.286     0.000    0.000        0.07     0.15  -1.107   99.286     0.02
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000    -0.000    0.000        0.00  *******   0.000    0.000     0.00
   0.000     0.000    0.000        0.00      NaN   0.000    0.000     0.00
   0.000     0.000    0.000        0.00    -0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000    -0.000    0.000        0.00    -0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000    0.000       -0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000    0.000       -0.00    -0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000   -0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000    -0.000    0.000        0.00     0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000   *******    0.000       -0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000   -0.000        0.00     0.00   0.000      NaN     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000   -0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000       -0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    4.348        0.00     0.00   0.000   -0.000     0.00
   0.000     0.000    0.111        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000       -0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000   *******    0.000       -0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000     *******     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000      NaN     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000   *******      NaN        0.00    -0.00   0.000    0.000    -0.00
   0.000     0.000    0.000      259.94     0.00   0.019    0.000     0.00
   0.000     0.000   -0.000        1.00     0.60   0.313    0.049    -0.64
   0.000     0.000    0.000       99.29     0.02   0.072    0.149    -1.11
   0.000   *******    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000   -0.000        0.00     0.00   0.000  *******     0.00
   0.000     0.000    0.000        0.00     0.00   0.000      NaN     0.00
   0.000     0.000    0.000        0.00     0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000   -0.000       -0.00     0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000       -0.00     0.00  -0.000    0.000     0.00
     NaN     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000       -0.00     0.00  -0.000   -0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000       -0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00    -0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000   -0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000    -0.000  *******        0.00     0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00    -0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000   239.000    0.000        0.00     0.00  -0.000    0.000     0.00
   0.000   279.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000   299.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000   298.500    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000  *******        0.00     0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00  ******    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000    -0.000  *******        0.00    -0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00  ******    0.000     0.02
   0.000     0.000    0.000        0.00    -0.64   1.000    0.600     0.31
   0.000     0.000    0.000        0.00    -1.11  99.286    0.015     0.07
   0.000     0.000  *******        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000    -0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000   *******    0.000        0.00     0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00  -0.000    0.000    -0.00
   0.000     0.000    0.000         NaN     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00    -0.00  -0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00  -0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000   -0.000        0.00     0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000  239.000        0.00     0.00   0.000    0.000    -0.00
   0.000     0.000  279.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000  299.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000  298.500        0.00     0.00   0.000    0.000     0.00
   4.348     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.111     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000  *******
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
     NaN     0.000   -0.000        0.00     0.00   0.000   -0.000     0.00
   0.000     0.000    0.000        0.00     0.02   0.000    0.000   259.94
  -0.000     0.000    0.000        0.00     0.31   0.000   -0.641     1.00
   0.000     0.000    0.000        0.00     0.07   0.000   -1.107    99.29
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000   -0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000  *******        0.00     0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00    -0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00     NaN    0.000     0.00
   0.000     0.000    0.000        0.00    -0.00   0.000   -0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000    -0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
  -0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
 *******     0.000    0.000        0.00    -0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000       -0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000   100.990    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.450    0.000        0.00    -0.00   0.000    0.000     0.00
   0.000     0.650    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.750    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.800    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        4.35     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.11     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
   0.000     0.000    0.000        0.00     0.00   0.000    0.000     0.00
