94.4 101.62 52
0 299.43 0.6785 0
0.11004 298.4 0.6647 0
0.21765 297.33 0.7201 0
0.32502 296.32 0.747 0
0.43098 295.33 0.7766 0
0.53711 294.49 0.7707 0
0.64914 293.86 0.7109 0
0.7606 293.74 0.5339 0
0.86711 292.86 0.6255 0
0.97435 292.17 0.6439 0
1.0804 291.46 0.5991 0
1.1882 290.62 0.6092 0
1.2952 289.68 0.6477 0
1.4038 289.02 0.5882 0
1.5128 288.33 0.5652 0
1.6205 287.55 0.725 0
1.7291 287.42 0.6939 0
1.8405 288.1 0.5938 0
1.9584 287.86 0.7402 0
2.0709 286.94 0.8055 0
2.1852 286.12 0.8175 0
2.2997 285.98 0.7315 0
2.4151 287.12 0.3248 0
2.5332 287 0.2347 0
2.6514 287.15 0.0866 0
2.7767 286.55 0.0847 0
2.9089 286.13 0.0686 0
3.0292 285.5 0.1284 0
3.1501 284.88 0.1286 0
3.2709 284.33 0.0993 0
3.4044 283.76 0.1101 0
3.5331 282.95 0.1038 0
3.6555 282.6 0.0865 0
3.7787 281.93 0.0993 0
3.9016 281.3 0.1041 0
4.0252 280.53 0.1327 0
4.1497 279.72 0.1316 0
4.2817 278.97 0.154 0
4.4264 278.03 0.1497 0
4.5591 277.23 0.1575 0
4.6858 276.21 0.2313 0
4.8195 275.07 0.2305 0
4.9528 274.06 0.2208 0
5.0821 272.99 0.3141 0
5.2119 272.11 0.2884 0
5.3473 271.14 0.2869 0
5.4909 270.28 0.2958 0
5.6219 269.54 0.28 0
5.7537 268.53 0.3044 0
5.8877 267.54 0.3368 0
6.0221 267.06 0.251 0
6.158 266.3 0.2732 0
6.7556 261.29 0.3095 0
