94.4 101.52 22
0.00859 299.41 0.6787 0
0.11539 298.35 0.6665 0
0.18525 297.65 0.7095 0
0.37262 295.85 0.772 0
0.55277 294.35 0.7771 0
0.64371 293.86 0.7217 0
0.70274 293.94 0.5754 0
1.654 287.42 0.7544 0
1.7291 287.42 0.6939 0
1.8911 288.29 0.4692 0
1.9864 287.62 0.7835 0
2.1794 286.16 0.8174 0
2.2707 285.82 0.7625 0
2.4331 287.12 0.3143 0
2.5149 286.98 0.2454 0
2.6043 287.28 0.1057 0
2.7827 286.55 0.0842 0
3.5882 282.78 0.1024 0
4.5528 277.27 0.158 0
5.8677 267.66 0.332 0
6.0221 267.06 0.251 0
6.2877 265.54 0.246 0
6.7556 261.29 0.3095 0
