94.4 101.62 104
0 299.43 0.6785 0
0.05616 298.94 0.6743 0
0.11004 298.4 0.6647 0
0.16371 297.86 0.6985 0
0.21765 297.33 0.7201 0
0.27193 296.81 0.7337 0
0.32502 296.32 0.747 0
0.37796 295.8 0.774 0
0.43098 295.33 0.7766 0
0.48451 294.94 0.769 0
0.53711 294.49 0.7707 0
0.59077 294.07 0.7776 0
0.64914 293.86 0.7109 0
0.70802 293.93 0.5639 0
0.7606 293.74 0.5339 0
0.81301 293.32 0.5732 0
0.86711 292.86 0.6255 0
0.9206 292.48 0.6551 0
0.97435 292.17 0.6439 0
1.0278 291.83 0.6151 0
1.0804 291.46 0.5991 0
1.1341 291.1 0.5911 0
1.1882 290.62 0.6092 0
1.2414 290.12 0.6355 0
1.2952 289.68 0.6477 0
1.3496 289.44 0.5917 0
1.4038 289.02 0.5882 0
1.4591 288.66 0.5998 0
1.5128 288.33 0.5652 0
1.5668 287.9 0.6532 0
1.6205 287.55 0.725 0
1.6755 287.4 0.7573 0
1.7291 287.42 0.6939 0
1.7845 287.71 0.5888 0
1.8405 288.1 0.5938 0
1.9027 288.27 0.4671 0
1.9584 287.86 0.7402 0
2.014 287.39 0.7837 0
2.0709 286.94 0.8055 0
2.1279 286.52 0.8124 0
2.1852 286.12 0.8175 0
2.2422 285.85 0.7921 0
2.2997 285.98 0.7315 0
2.3571 286.84 0.4504 0
2.4151 287.12 0.3248 0
2.4741 287.07 0.2839 0
2.5332 287 0.2347 0
2.5922 287.27 0.1299 0
2.6514 287.15 0.0866 0
2.7169 286.8 0.0864 0
2.7767 286.55 0.0847 0
2.8442 286.39 0.0735 0
2.9089 286.13 0.0686 0
2.9696 285.82 0.1172 0
3.0292 285.5 0.1284 0
3.0897 285.18 0.1284 0
3.1501 284.88 0.1286 0
3.2107 284.63 0.0984 0
3.2709 284.33 0.0993 0
3.3441 284.08 0.1134 0
3.4044 283.76 0.1101 0
3.4654 283.34 0.1009 0
3.5331 282.95 0.1038 0
3.5945 282.76 0.101 0
3.6555 282.6 0.0865 0
3.7173 282.3 0.0823 0
3.7787 281.93 0.0993 0
3.84 281.58 0.1026 0
3.9016 281.3 0.1041 0
3.9633 280.95 0.1122 0
4.0252 280.53 0.1327 0
4.0874 280.13 0.1417 0
4.1497 279.72 0.1316 0
4.2187 279.32 0.151 0
4.2817 278.97 0.154 0
4.3569 278.48 0.1524 0
4.4264 278.03 0.1497 0
4.4964 277.59 0.157 0
4.5591 277.23 0.1575 0
4.622 276.76 0.1692 0
4.6858 276.21 0.2313 0
4.755 275.6 0.2434 0
4.8195 275.07 0.2305 0
4.8826 274.58 0.2034 0
4.9528 274.06 0.2208 0
5.0171 273.51 0.2798 0
5.0821 272.99 0.3141 0
5.1465 272.5 0.312 0
5.2119 272.11 0.2884 0
5.2826 271.62 0.275 0
5.3473 271.14 0.2869 0
5.4187 270.72 0.2867 0
5.4909 270.28 0.2958 0
5.5563 269.95 0.2868 0
5.6219 269.54 0.28 0
5.6871 269.02 0.3123 0
5.7537 268.53 0.3044 0
5.8197 268.01 0.3183 0
5.8877 267.54 0.3368 0
5.9542 267.33 0.2853 0
6.0221 267.06 0.251 0
6.09 266.67 0.2728 0
6.158 266.3 0.2732 0
6.2262 265.95 0.2304 0
6.7556 261.29 0.3095 0
