file timest timend soundg wave
1 20180116_000220 20180116_000601 D2D01160000011600001.nc US058GOCN-GR1mdl.0110_0240_00000F0RL2018011600_0001_000000-000000
2 20180116_031518 20180116_031903 D2D01160000011603001.nc US058GOCN-GR1mdl.0110_0240_00300F0RL2018011600_0001_000000-000000
3 20180116_032759 20180116_033200 D2D01160000011603001.nc US058GOCN-GR1mdl.0110_0240_00300F0RL2018011600_0001_000000-000000
4 20180119_013320 20180119_013622 D20180119_013221_PQC.eol US058GOCN-GR1mdl.0110_0240_00300F0RL2018011900_0001_000000-000000
5 20180122_213946 20180122_214327 D20180122_213753_PQC.eol US058GOCN-GR1mdl.0110_0240_00900F0RL2018012212_0001_000000-000000
6 20180122_223759 20180122_224111 D20180122_224757_PQC.eol US058GOCN-GR1mdl.0110_0240_00000F0RL2018012300_0001_000000-000000
7 20180124_000426 20180124_000803 D20180124_000350_PQC.eol US058GOCN-GR1mdl.0110_0240_00000F0RL2018012400_0001_000000-000000
8 20180125_230730 20180125_231102 D20180125_230610_PQC.eol US058GOCN-GR1mdl.0110_0240_00000F0RL2018012600_0001_000000-000000
9 20180125_235200 20180125_235531 D20180125_234600_PQC.eol US058GOCN-GR1mdl.0110_0240_00000F0RL2018012600_0001_000000-000000
10 20180126_001015 20180126_001346 D20180126_000636_PQC.eol US058GOCN-GR1mdl.0110_0240_00000F0RL2018012600_0001_000000-000000
11 20180128_233805 20180128_234150 D20180128_233730_PQC.eol US058GOCN-GR1mdl.0110_0240_00000F0RL2018012900_0001_000000-000000
12 20180131_013709 20180131_014200 D20180131_013637_PQC.eol US058GOCN-GR1mdl.0110_0240_00300F0RL2018013100_0001_000000-000000
13 20180131_021831 20180131_022230 D20180131_021738_PQC.eol US058GOCN-GR1mdl.0110_0240_00300F0RL2018013100_0001_000000-000000
14 20180204_000558 20180204_001155 D2D02040000020400001.nc US058GOCN-GR1mdl.0110_0240_00000F0RL2018020400_0001_000000-000000
15 20180204_001700 20180204_002157 D2D02040000020400001.nc US058GOCN-GR1mdl.0110_0240_00000F0RL2018020400_0001_000000-000000
16 20180204_232259 20180204_232633 D2D02050000020500001.nc US058GOCN-GR1mdl.0110_0240_00000F0RL2018020500_0001_000000-000000
17 20180207_215650 20180207_220134 D20180207_215609_PQC.eol US058GOCN-GR1mdl.0110_0240_00900F0RL2018020712_0001_000000-000000
18 20180217_024228 20180217_024514 D20180217_024430_PQC.eol US058GOCN-GR1mdl.0110_0240_00300F0RL2018021700_0001_000000-000000
19 20180218_003800 20180218_003835 D20180218_004020_PQC.eol US058GOCN-GR1mdl.0110_0240_00000F0RL2018021800_0001_000000-000000
19 20180218_003839 20180218_004201 nan US058GOCN-GR1mdl.0110_0240_00000F0RL2018021800_0001_000000-000000
20 20180218_005400 20180218_005544 D2D02180000021800001.nc US058GOCN-GR1mdl.0110_0240_00000F0RL2018021800_0001_000000-000000
21 20180218_010456 20180218_010949 D2D02180000021800001.nc US058GOCN-GR1mdl.0110_0240_00000F0RL2018021800_0001_000000-000000
22 20180218_065041 20180218_065343 D20180218_064620_PQC.eol US058GOCN-GR1mdl.0110_0240_00600F0RL2018021800_0001_000000-000000
23 20180219_234404 20180219_234741 D20180219_233942_PQC.eol US058GOCN-GR1mdl.0110_0240_00000F0RL2018022000_0001_000000-000000
24 20180224_024215 20180224_024452 D20180224_024250_PQC.eol US058GOCN-GR1mdl.0110_0240_00300F0RL2018022400_0001_000000-000000
