file timest timend soundg casefiles
1 20150707_192000 20150707_192500 nan cset_case1.txt
2 20150707_194200 20150707_194300 nan cset_case2.txt
3 20150707_203400 20150707_203900 nan cset_case3.txt
4 20150709_173200 20150709_173700 nan cset_case4.txt
5 20150709_222400 20150709_222900 D20150709_222840_P.QC.eol cset_case5.txt
6 20150722_153400 20150722_153900 nan cset_case7.txt
7 20150722_192510 20150722_193000 D20150722_193012_P.QC.eol cset_case8.txt
8 20150724_165500 20150724_170000 D20150724_165608_P.QC.eol cset_case9.txt
9 20150724_230000 20150724_230500 D20150724_230006_P.QC.eol cset_case10.txt
10 20150727_151800 20150727_152300 D20150727_152759_P.QC.eol cset_case11.txt
11 20150727_153500 20150727_154000 D20150727_154300_P.QC.eol cset_case12.txt
12 20150727_212600 20150727_213100 nan cset_case13.txt
13 20150729_165100 20150729_165600 nan cset_case14.txt
14 20150729_233215 20150729_233700 D20150729_231701_P.QC.eol cset_case15.txt
15 20150801_214200 20150801_214700 D20150801_214509_P.QC.eol cset_case16.txt
16 20150803_170240 20150803_170500 D20150803_170007_P.QC.eol cset_case17.txt
17 20150807_152200 20150807_152700 nan cset_case18.txt
18 20150807_194400 20150807_194900 D20150807_193958_P.QC.eol cset_case19.txt
19 20150807_210900 20150807_211400 D20150807_212000_P.QC.eol cset_case20.txt
20 20150807_213545 20150807_213800 D20150807_212000_P.QC.eol cset_case21.txt
21 20150809_165030 20150809_165500 nan cset_case22.txt
22 20150812_165100 20150812_165540 D20150812_165938_P.QC.eol cset_case23.txt
23 20150812_201300 20150812_201550 D20150812_201151_P.QC.eol cset_case24.txt
