# RUN INFO: year,month,day,hour,min,sec,nSamples,startGate,nGates
# 2020,12,30,06,39,04,10000,100,300
# OPS INFO: siteName,radarName,alt,lat,lon,startRange,gateSpacing,scanMode,xmitRcvMode,prfMode,xmitPhaseMode,wavelenCm,beamWidthH,beamWidthV
# ,HCR,1602.23,40.038,-105.241,-198,19.1867,12,8,1,1,0.317556,0.75,0.72
# DUAL CHANNEL MODE:
#   Start gate: 100
#   N gates: 300
#   N samples: 10000
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1   Lag1Hc   Lag1Vc    HLnaTemp    VLnaTemp
2020/11/19_21:05:18.445018053  9864.3   88.39  295.76  -52.215    0.166 -161.619  -48.118    0.166 -161.619  -52.215  -48.118  -64.965  -68.562     30.5684     32.7366
2020/11/19_21:05:19.458777905  9864.3   88.39  295.77  -52.194    0.167 -161.241  -48.132    0.167 -161.241  -52.194  -48.132  -64.899  -68.484     30.5741     32.5061
2020/11/19_21:05:20.472537994  9864.3   88.39  295.78  -52.180    0.165 -161.268  -48.147    0.165 -161.268  -52.180  -48.147  -64.941  -68.662     30.4663     32.4168
2020/11/19_21:05:21.486298084  9864.3   88.39  295.78  -52.163    0.166 -161.162  -48.164    0.166 -161.162  -52.163  -48.164  -64.923  -68.720     31.1277     32.6213
2020/11/19_21:05:22.500057936  9864.3   88.39  295.77  -52.156    0.166 -161.455  -48.175    0.166 -161.455  -52.156  -48.175  -64.830  -68.629     31.5141     32.7488
# end of file
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1   Lag1Hc   Lag1Vc    HLnaTemp    VLnaTemp
2020/11/19_21:05:23.513818026  9864.3   88.39  295.75  -52.146    0.166 -161.647  -48.183    0.166 -161.647  -52.146  -48.183  -64.858  -68.585     31.6425      32.613
2020/11/19_21:05:24.527578115  9864.3   88.39  295.73  -52.136    0.166 -161.712  -48.201    0.166 -161.712  -52.136  -48.201  -64.874  -68.509     31.2674     32.3318
2020/11/19_21:05:25.541337967  9864.3   88.39  295.72  -52.125    0.166 -161.420  -48.221    0.166 -161.420  -52.125  -48.221  -64.862  -68.653     30.9816     32.0333
2020/11/19_21:05:26.555098057  9864.3   88.39  295.70  -52.117    0.166 -161.516  -48.229    0.166 -161.516  -52.117  -48.229  -64.868  -68.717     31.1496     31.9602
2020/11/19_21:05:27.568857908  9864.3   88.38  295.81  -52.118    0.165 -161.309  -48.242    0.165 -161.309  -52.118  -48.242  -64.896  -68.809     31.4173     32.1863
2020/11/19_21:05:28.582617998  9864.3   88.38  295.75  -52.114    0.166 -161.448  -48.251    0.166 -161.448  -52.114  -48.251  -64.845  -68.693     31.5183     32.5241
2020/11/19_21:05:29.596378088  9864.3   88.38  295.75  -52.111    0.167 -161.239  -48.267    0.167 -161.239  -52.111  -48.267  -64.850  -68.708      31.391     32.7641
2020/11/19_21:05:30.610137939  9864.3   88.38  295.75  -52.110    0.166 -161.523  -48.280    0.166 -161.523  -52.110  -48.280  -64.899  -68.843     31.2152     32.4068
2020/11/19_21:05:31.623898029  9864.3   88.38  295.74  -52.104    0.165 -161.356  -48.292    0.165 -161.356  -52.104  -48.292  -64.833  -68.941     31.3433     32.3132
2020/11/19_21:05:32.637658119  9864.3   88.38  295.74  -52.109    0.167 -161.543  -48.304    0.167 -161.543  -52.109  -48.304  -64.893  -68.929     31.2417      32.119
2020/11/19_21:05:33.651417971  9864.3   88.38  295.75  -52.110    0.164 -161.409  -48.330    0.164 -161.409  -52.110  -48.330  -64.907  -69.139     31.1336     32.0307
2020/11/19_21:05:34.665178061  9864.3   88.38  295.76  -52.114    0.166 -161.479  -48.329    0.166 -161.479  -52.114  -48.329  -64.905  -68.893     30.9718     31.7536
2020/11/19_21:05:35.678937912  9864.3   88.38  295.76  -52.125    0.165 -161.715  -48.354    0.165 -161.715  -52.125  -48.354  -64.882  -68.629     31.2459     31.4846
2020/11/19_21:05:36.692698002  9864.3   88.38  295.77  -52.121    0.167 -161.363  -48.355    0.167 -161.363  -52.121  -48.355  -64.933  -68.998     31.5898     31.5506
2020/11/19_21:05:37.706458092  9864.3   88.38  295.78  -52.130    0.165 -161.377  -48.372    0.165 -161.377  -52.130  -48.372  -64.934  -68.991     31.6187     31.6242
2020/11/19_21:05:38.720217943  9864.3   88.39  295.82  -52.138    0.165 -161.896  -48.383    0.165 -161.896  -52.138  -48.383  -64.960  -68.804     31.5468     31.6137
2020/11/19_21:05:39.733978033  9864.3   88.38  295.75  -52.147    0.165 -161.212  -48.398    0.165 -161.212  -52.147  -48.398  -64.932  -68.671     31.0515     31.3776
2020/11/19_21:05:40.747737885  9864.3   88.38  295.75  -52.153    0.166 -161.326  -48.403    0.166 -161.326  -52.153  -48.403  -64.961  -69.003     30.9066     31.4284
2020/11/19_21:05:41.761497974  9864.3   88.38  295.76  -52.158    0.166 -161.551  -48.415    0.166 -161.551  -52.158  -48.415  -64.961  -69.175     30.9813     31.4065
2020/11/19_21:05:42.775258064  9864.3   88.38  295.77  -52.168    0.167 -161.426  -48.426    0.167 -161.426  -52.168  -48.426  -64.993  -68.867     31.2976     31.5775
2020/11/19_21:05:43.789017916  9864.3   88.38  295.78  -52.173    0.166 -161.789  -48.433    0.166 -161.789  -52.173  -48.433  -64.944  -68.992     31.4279     31.6444
2020/11/19_21:05:44.802778006  9864.3   88.38  295.78  -52.184    0.166 -162.179  -48.440    0.166 -162.179  -52.184  -48.440  -65.027  -69.055     31.4662     31.6149
2020/11/19_21:05:45.816538095  9864.3   88.39  295.78  -52.190    0.167 -161.704  -48.452    0.167 -161.704  -52.190  -48.452  -64.945  -68.897     31.3382     31.1994
2020/11/19_21:05:46.830297947  9864.3   88.39  295.75  -52.202    0.166 -161.788  -48.461    0.166 -161.788  -52.202  -48.461  -64.953  -68.698     31.1631     31.1202
2020/11/19_21:05:47.844058037  9864.3   88.39  295.77  -52.214    0.166 -162.206  -48.479    0.166 -162.206  -52.214  -48.479  -65.035  -68.948     30.8821     30.7732
2020/11/19_21:05:48.857817888  9864.3   88.39  295.77  -52.225    0.166 -162.112  -48.487    0.166 -162.112  -52.225  -48.487  -65.037  -68.934     30.7083      30.679
2020/11/19_21:05:49.871577978  9864.3   88.39  295.78  -52.238    0.166 -161.659  -48.496    0.166 -161.659  -52.238  -48.496  -65.045  -69.068     30.5955     30.3264
2020/11/19_21:05:50.885338068  9864.3   88.39  295.78  -52.247    0.165 -161.758  -48.506    0.165 -161.758  -52.247  -48.506  -65.056  -68.843     30.4228     30.1333
2020/11/19_21:05:51.899097919  9864.3   88.39  295.85  -52.250    0.166 -162.099  -48.504    0.166 -162.099  -52.250  -48.504  -65.068  -69.312     30.2027     30.1201
2020/11/19_21:05:52.912858009  9864.3   88.39  295.76  -52.265    0.166 -161.862  -48.516    0.166 -161.862  -52.265  -48.516  -65.048  -69.126     30.4611     30.5028
# end of file
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1   Lag1Hc   Lag1Vc    HLnaTemp    VLnaTemp
2020/11/19_21:05:53.926618099  9864.3   88.39  295.75  -52.268    0.165 -161.972  -48.519    0.165 -161.972  -52.268  -48.519  -65.033  -69.244      30.635     30.7429
2020/11/19_21:05:54.940377951  9864.3   88.39  295.77  -52.268    0.165 -162.169  -48.523    0.165 -162.169  -52.268  -48.523  -65.122  -69.076     30.9611     30.7546
2020/11/19_21:05:55.954138041  9864.3   88.39  295.81  -52.267    0.166 -162.281  -48.525    0.166 -162.281  -52.267  -48.525  -65.105  -69.126      31.061     30.6077
2020/11/19_21:05:56.967897892  9864.3   88.39  295.77  -52.266    0.166 -162.008  -48.531    0.166 -162.008  -52.266  -48.531  -65.111  -69.101     30.7625     30.2789
2020/11/19_21:05:57.981657982  9864.3   88.39  295.77  -52.263    0.164 -162.453  -48.530    0.164 -162.453  -52.263  -48.530  -65.171  -69.177     30.5279     30.0256
2020/11/19_21:05:58.995418072  9864.3   88.39  295.76  -52.264    0.165 -162.539  -48.531    0.165 -162.539  -52.264  -48.531  -65.106  -69.258     30.4052     29.9478
2020/11/19_21:06:00.009177923  9864.3   88.39  295.73  -52.256    0.166 -162.215  -48.525    0.166 -162.215  -52.256  -48.525  -65.076  -69.293     30.3636     29.9952
2020/11/19_21:06:01.022938013  9864.3   88.39  295.73  -52.251    0.166 -162.394  -48.512    0.166 -162.394  -52.251  -48.512  -65.089  -69.052     30.4313     30.1121
2020/11/19_21:06:02.036698103  9864.3   88.39  295.72  -52.239    0.165 -162.296  -48.525    0.165 -162.296  -52.239  -48.525  -65.118  -69.050      30.514     30.1857
2020/11/19_21:06:03.050457954  9864.3   88.39  295.72  -52.221    0.165 -162.205  -48.520    0.165 -162.205  -52.221  -48.520  -65.069  -68.707     30.5503     30.1425
2020/11/19_21:06:04.064218044  9864.3   88.39  295.71  -52.215    0.166 -162.893  -48.520    0.166 -162.893  -52.215  -48.520  -65.087  -69.281     30.7691     30.1525
2020/11/19_21:06:05.077977896  9864.3   88.39  295.71  -52.198    0.166 -162.663  -48.509    0.166 -162.663  -52.198  -48.509  -65.041  -68.776      30.807     30.0564
2020/11/19_21:06:06.091737986  9864.3   88.39  295.71  -52.179    0.165 -162.428  -48.501    0.165 -162.428  -52.179  -48.501  -65.048  -69.089     30.9896     30.0883
2020/11/19_21:06:07.105498075  9864.3   88.39  295.72  -52.167    0.166 -162.481  -48.498    0.166 -162.481  -52.167  -48.498  -64.991  -69.177      30.943      30.039
2020/11/19_21:06:08.119257927  9864.3   88.39  295.71  -52.155    0.165 -162.052  -48.486    0.165 -162.052  -52.155  -48.486  -64.914  -69.345     30.8495      29.911
2020/11/19_21:06:09.133018017  9864.3   88.39  295.76  -52.140    0.165 -162.439  -48.481    0.165 -162.439  -52.140  -48.481  -64.997  -68.889     30.9372     29.9795
2020/11/19_21:06:10.146778107  9864.3   88.39  295.83  -52.125    0.166 -162.228  -48.474    0.166 -162.228  -52.125  -48.474  -64.932  -69.112     30.8412     30.2096
2020/11/19_21:06:11.160537958  9864.3   88.39  295.78  -52.112    0.165 -162.332  -48.457    0.165 -162.332  -52.112  -48.457  -64.974  -69.132     30.8607     30.4967
2020/11/19_21:06:12.174298048  9864.3   88.39  295.78  -52.100    0.166 -162.354  -48.446    0.166 -162.354  -52.100  -48.446  -64.933  -68.890     30.8412     30.7967
2020/11/19_21:06:13.188057899  9864.3   88.39  295.78  -52.091    0.165 -162.425  -48.431    0.165 -162.425  -52.091  -48.431  -64.940  -68.933     30.9083     30.8199
2020/11/19_21:06:14.201817989  9864.3   88.39  295.79  -52.077    0.166 -162.275  -48.425    0.166 -162.275  -52.077  -48.425  -64.903  -68.953     30.9713      30.664
2020/11/19_21:06:15.215578079  9864.3   88.39  295.80  -52.076    0.165 -162.497  -48.421    0.165 -162.497  -52.076  -48.421  -64.898  -68.817     30.9207     30.4016
2020/11/19_21:06:16.229337931  9864.3   88.39  295.81  -52.074    0.166 -162.230  -48.397    0.166 -162.230  -52.074  -48.397  -64.893  -68.887     30.9614     30.6658
2020/11/19_21:06:17.243098021  9864.3   88.39  295.82  -52.070    0.167 -162.220  -48.377    0.167 -162.220  -52.070  -48.377  -64.875  -69.033     31.2902     31.2228
2020/11/19_21:06:18.256858110  9864.3   88.39  295.83  -52.068    0.165 -162.017  -48.374    0.165 -162.017  -52.068  -48.374  -64.948  -68.857     31.4337     31.2656
2020/11/19_21:06:19.270617962  9864.3   88.39  295.81  -52.070    0.166 -161.874  -48.356    0.166 -161.874  -52.070  -48.356  -64.894  -68.924      31.152     31.0384
2020/11/19_21:06:20.284378052  9864.3   88.39  295.83  -52.076    0.167 -161.832  -48.347    0.167 -161.832  -52.076  -48.347  -64.877  -68.797     31.1729     31.0656
2020/11/19_21:06:21.298137903  9864.3   88.39  295.83  -52.077    0.167 -162.197  -48.337    0.167 -162.197  -52.077  -48.337  -64.955  -68.779     31.5165     31.5384
2020/11/19_21:06:22.311897993  9864.3   88.39  295.82  -52.081    0.166 -161.856  -48.323    0.166 -161.856  -52.081  -48.323  -64.922  -68.778      31.578     31.6021
2020/11/19_21:06:23.325658083  9864.3   88.39  295.76  -52.083    0.166 -161.842  -48.307    0.166 -161.842  -52.083  -48.307  -64.889  -68.946     31.6375     31.5277
# end of file
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1   Lag1Hc   Lag1Vc    HLnaTemp    VLnaTemp
2020/11/19_21:06:24.339417934  9864.3   88.39  295.75  -52.090    0.166 -161.883  -48.299    0.166 -161.883  -52.090  -48.299  -64.946  -68.666     31.3361     31.3086
2020/11/19_21:06:25.353178024  9864.3   88.39  295.74  -52.093    0.167 -161.661  -48.280    0.167 -161.661  -52.093  -48.280  -64.898  -68.613     31.0312     31.0358
2020/11/19_21:06:26.366938114  9864.3   88.39  295.75  -52.101    0.166 -161.445  -48.265    0.166 -161.445  -52.101  -48.265  -64.895  -68.862      31.007     31.2115
2020/11/19_21:06:27.380697966  9864.3   88.39  295.76  -52.106    0.167 -161.343  -48.255    0.167 -161.343  -52.106  -48.255  -65.021  -68.743     31.2125     31.4245
2020/11/19_21:06:28.394458055  9864.3   88.39  295.78  -52.113    0.167 -161.731  -48.233    0.167 -161.731  -52.113  -48.233  -64.901  -68.623     31.5522     31.8099
2020/11/19_21:06:29.408217907  9864.3   88.42  294.03  -52.118    0.167 -161.617  -48.220    0.167 -161.617  -52.118  -48.220  -65.001  -68.929       31.59     31.8407
2020/11/19_21:06:30.421977997  9864.3   88.39  295.77  -52.126    0.166 -161.651  -48.215    0.166 -161.651  -52.126  -48.215  -65.006  -68.867     31.3958     31.6323
2020/11/19_21:06:31.435738087  9864.3   88.39  295.78  -52.132    0.167 -161.457  -48.196    0.167 -161.457  -52.132  -48.196  -64.987  -68.614     31.1956     31.4148
2020/11/19_21:06:32.449497938  9864.3   88.39  295.78  -52.148    0.167 -161.438  -48.187    0.167 -161.438  -52.148  -48.187  -64.970  -68.767     31.4258     31.6184
2020/11/19_21:06:33.463258028  9864.3   88.39  295.78  -52.154    0.166 -161.396  -48.181    0.166 -161.396  -52.154  -48.181  -64.991  -68.689     31.4334     31.7785
2020/11/19_21:06:34.477018118  9864.3   88.39  295.78  -52.169    0.168 -161.365  -48.179    0.168 -161.365  -52.169  -48.179  -65.024  -68.763      31.415     31.8535
2020/11/19_21:06:35.490777969  9864.3   88.39  295.78  -52.171    0.166 -160.999  -48.175    0.166 -160.999  -52.171  -48.175  -65.071  -68.680     31.3647     31.8878
2020/11/19_21:06:36.504538059  9864.3   88.39  295.78  -52.182    0.167 -161.318  -48.181    0.167 -161.318  -52.182  -48.181  -65.042  -68.975     31.1144     31.8381
2020/11/19_21:06:37.518297911  9864.3   88.39  295.80  -52.195    0.168 -161.013  -48.182    0.168 -161.013  -52.195  -48.182  -65.117  -68.889     31.1421     31.6706
2020/11/19_21:06:38.532058001  9864.3   88.39  295.80  -52.198    0.167 -160.636  -48.182    0.167 -160.636  -52.198  -48.182  -65.036  -68.688     31.0943     31.6753
2020/11/19_21:06:39.545818090  9864.3   88.39  295.80  -52.217    0.168 -160.956  -48.188    0.168 -160.956  -52.217  -48.188  -65.007  -68.532     30.9676      31.719
2020/11/19_21:06:40.559577942  9864.3   88.39  295.80  -52.228    0.167 -160.882  -48.197    0.167 -160.882  -52.228  -48.197  -65.151  -68.778      30.962     31.9561
2020/11/19_21:06:41.573338032  9864.3   88.39  295.81  -52.236    0.169 -161.013  -48.201    0.169 -161.013  -52.236  -48.201  -65.152  -68.787     30.9526     32.0873
2020/11/19_21:06:42.587097883  9864.3   88.40  295.88  -52.248    0.166 -160.597  -48.207    0.166 -160.597  -52.248  -48.207  -65.061  -68.434     30.9324     32.0997
2020/11/19_21:06:43.600857973  9864.3   88.39  295.85  -52.262    0.169 -160.786  -48.217    0.169 -160.786  -52.262  -48.217  -65.152  -68.917     30.9984     32.1252
2020/11/19_21:06:44.614618063  9864.3   88.39  295.86  -52.274    0.169 -160.911  -48.214    0.169 -160.911  -52.274  -48.214  -65.095  -68.939     30.8547     32.1152
2020/11/19_21:06:45.628377914  9864.3   88.39  295.88  -52.284    0.167 -160.704  -48.234    0.167 -160.704  -52.284  -48.234  -65.220  -68.615     30.7971     32.1253
2020/11/19_21:06:46.642138004  9864.3   88.39  295.90  -52.293    0.169 -160.629  -48.238    0.169 -160.629  -52.293  -48.238  -65.204  -68.881      30.705     32.0306
2020/11/19_21:06:47.655898094  9864.3   88.39  295.89  -52.312    0.167 -160.592  -48.249    0.167 -160.592  -52.312  -48.249  -65.177  -68.674     30.4866     32.0998
2020/11/19_21:06:48.669657946  9864.3   88.39  295.90  -52.325    0.168 -160.944  -48.266    0.168 -160.944  -52.325  -48.266  -65.203  -68.905     30.5401     31.9703
2020/11/19_21:06:49.683418036  9864.3   88.39  295.90  -52.336    0.168 -160.975  -48.272    0.168 -160.975  -52.336  -48.272  -65.257  -68.786      30.751     32.3216
2020/11/19_21:06:50.697177887  9864.3   88.39  295.88  -52.348    0.167 -161.334  -48.283    0.167 -161.334  -52.348  -48.283  -65.273  -68.606      30.573     32.1735
2020/11/19_21:06:51.710937977  9864.3   88.39  295.89  -52.366    0.168 -160.898  -48.288    0.168 -160.898  -52.366  -48.288  -65.276  -68.447     30.2793     32.0261
2020/11/19_21:06:52.724698067  9864.3   88.39  295.83  -52.376    0.168 -161.047  -48.305    0.168 -161.047  -52.376  -48.305  -65.264  -68.996     30.0456     31.8051
2020/11/19_21:06:53.738457918  9864.3   88.39  295.84  -52.385    0.168 -160.830  -48.316    0.168 -160.830  -52.385  -48.316  -65.318  -68.675     29.7839      31.729
# end of file
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1   Lag1Hc   Lag1Vc    HLnaTemp    VLnaTemp
2020/11/19_21:06:54.752218008  9864.3   88.39  295.86  -52.399    0.168 -160.885  -48.326    0.168 -160.885  -52.399  -48.326  -65.328  -68.893     29.8217     31.7977
2020/11/19_21:06:55.765978098  9864.3   88.39  295.85  -52.414    0.167 -160.618  -48.336    0.167 -160.618  -52.414  -48.336  -65.371  -68.837     29.6417     31.6334
2020/11/19_21:06:56.779737949  9864.3   88.39  295.85  -52.422    0.168 -160.673  -48.352    0.168 -160.673  -52.422  -48.352  -65.376  -68.983     29.7704     31.7064
2020/11/19_21:06:57.793498039  9864.3   88.39  295.86  -52.439    0.169 -161.254  -48.363    0.169 -161.254  -52.439  -48.363  -65.371  -68.772     29.9642     31.9484
2020/11/19_21:06:58.807257891  9864.3   88.39  295.87  -52.454    0.167 -160.557  -48.375    0.167 -160.557  -52.454  -48.375  -65.383  -68.717     30.0962     31.9761
2020/11/19_21:06:59.821017981  9864.3   88.39  295.86  -52.460    0.167 -161.214  -48.373    0.167 -161.214  -52.460  -48.373  -65.366  -69.050     30.1424     31.7068
2020/11/19_21:07:00.834778070  9864.3   88.39  295.87  -52.471    0.168 -161.206  -48.389    0.168 -161.206  -52.471  -48.389  -65.325  -68.879     29.8856     31.3527
2020/11/19_21:07:01.848537922  9864.3   88.39  295.86  -52.490    0.167 -161.246  -48.404    0.167 -161.246  -52.490  -48.404  -65.491  -68.884     29.7735     31.2241
2020/11/19_21:07:02.862298012  9864.3   88.39  295.87  -52.505    0.167 -161.134  -48.411    0.167 -161.134  -52.505  -48.411  -65.407  -69.154     29.6934     31.1493
2020/11/19_21:07:03.876058102  9864.3   88.39  295.88  -52.513    0.167 -161.044  -48.422    0.167 -161.044  -52.513  -48.422  -65.422  -68.875     29.5941     31.3097
2020/11/19_21:07:04.889817953  9864.3   88.39  295.89  -52.528    0.168 -161.048  -48.422    0.168 -161.048  -52.528  -48.422  -65.439  -68.981     29.3595     31.2451
2020/11/19_21:07:05.903578043  9864.3   88.42  294.04  -52.534    0.166 -161.276  -48.436    0.166 -161.276  -52.534  -48.436  -65.479  -69.073     29.6089     31.0655
2020/11/19_21:07:06.917337894  9864.3   88.39  295.91  -52.551    0.168 -161.103  -48.452    0.168 -161.103  -52.551  -48.452  -65.529  -68.805     29.6106      30.773
2020/11/19_21:07:07.931097984  9864.3   88.39  295.91  -52.565    0.166 -161.030  -48.451    0.166 -161.030  -52.565  -48.451  -65.530  -68.983     29.5069     30.7983
2020/11/19_21:07:08.944858074  9864.3   88.39  295.90  -52.579    0.167 -161.505  -48.468    0.167 -161.505  -52.579  -48.468  -65.528  -68.856      29.448     30.9398
2020/11/19_21:07:09.958617926  9864.3   88.39  295.90  -52.591    0.167 -161.356  -48.473    0.167 -161.356  -52.591  -48.473  -65.586  -68.793     29.6561     31.2697
2020/11/19_21:07:10.972378016  9864.3   88.39  295.90  -52.601    0.167 -161.661  -48.481    0.167 -161.661  -52.601  -48.481  -65.539  -68.752     29.8609     31.2709
2020/11/19_21:07:11.986138105  9864.3   88.39  295.90  -52.620    0.167 -161.342  -48.494    0.167 -161.342  -52.620  -48.494  -65.564  -68.971     30.4355     31.1523
2020/11/19_21:07:12.999897957  9864.3   88.39  295.90  -52.628    0.167 -161.315  -48.499    0.167 -161.315  -52.628  -48.499  -65.557  -68.925     30.4657     31.0156
2020/11/19_21:07:14.013658047  9864.3   88.39  295.88  -52.643    0.167 -160.955  -48.504    0.167 -160.955  -52.643  -48.504  -65.525  -69.189     30.2366      30.917
2020/11/19_21:07:15.027417898  9864.3   88.40  295.96  -52.656    0.167 -161.198  -48.516    0.167 -161.198  -52.656  -48.516  -65.573  -69.077     29.4597     30.7166
2020/11/19_21:07:16.041177988  9864.3   88.39  295.95  -52.670    0.167 -161.636  -48.525    0.167 -161.636  -52.670  -48.525  -65.627  -69.276     28.8557     30.7463
2020/11/19_21:07:17.054938078  9864.3   88.39  295.93  -52.684    0.167 -161.916  -48.533    0.167 -161.916  -52.684  -48.533  -65.653  -68.998     28.9154     30.5905
2020/11/19_21:07:18.068697929  9864.3   88.39  295.91  -52.693    0.167 -161.533  -48.533    0.167 -161.533  -52.693  -48.533  -65.664  -69.110     28.7603     30.4539
2020/11/19_21:07:19.082458019  9864.3   88.39  295.89  -52.711    0.167 -161.663  -48.549    0.167 -161.663  -52.711  -48.549  -65.729  -68.815     28.8171     30.5226
2020/11/19_21:07:20.096218109  9864.3   88.39  295.88  -52.718    0.166 -161.501  -48.556    0.166 -161.501  -52.718  -48.556  -65.737  -69.140     29.0921     30.5432
2020/11/19_21:07:21.109977961  9864.3   88.39  295.82  -52.727    0.167 -161.405  -48.564    0.167 -161.405  -52.727  -48.564  -65.684  -69.018     29.3907      30.648
2020/11/19_21:07:22.123738050  9864.3   88.39  295.81  -52.746    0.167 -161.657  -48.578    0.167 -161.657  -52.746  -48.578  -65.764  -69.202     29.4232     30.4615
2020/11/19_21:07:23.137497902  9864.3   88.39  295.82  -52.752    0.165 -161.817  -48.576    0.165 -161.817  -52.752  -48.576  -65.736  -69.127     29.4271     30.2671
2020/11/19_21:07:24.151257992  9864.3   88.39  295.81  -52.767    0.167 -161.897  -48.584    0.167 -161.897  -52.767  -48.584  -65.818  -68.960      29.238     30.2116
# end of file
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1   Lag1Hc   Lag1Vc    HLnaTemp    VLnaTemp
2020/11/19_21:07:25.165018082  9864.3   88.39  295.83  -52.779    0.166 -161.603  -48.599    0.166 -161.603  -52.779  -48.599  -65.804  -69.056     28.9031     30.1481
2020/11/19_21:07:26.178777933  9864.3   88.39  295.81  -52.790    0.167 -161.542  -48.595    0.167 -161.542  -52.790  -48.595  -65.783  -69.101     28.5994     30.0713
2020/11/19_21:07:27.192538023  9864.3   88.39  295.81  -52.801    0.167 -161.891  -48.610    0.167 -161.891  -52.801  -48.610  -65.754  -69.239     28.5262     29.8358
2020/11/19_21:07:28.206298113  9864.3   88.42  293.99  -52.817    0.166 -161.859  -48.612    0.166 -161.859  -52.817  -48.612  -65.829  -69.262     28.5957     29.9489
2020/11/19_21:07:29.220057964  9864.3   88.39  295.80  -52.825    0.165 -161.687  -48.620    0.165 -161.687  -52.825  -48.620  -65.849  -69.179     28.7161     29.9796
2020/11/19_21:07:30.233818054  9864.3   88.39  295.81  -52.840    0.166 -162.138  -48.621    0.166 -162.138  -52.840  -48.621  -65.873  -69.021     28.7311     29.9034
2020/11/19_21:07:31.247577906  9864.3   88.39  295.80  -52.853    0.166 -162.082  -48.631    0.166 -162.082  -52.853  -48.631  -65.895  -69.315     28.6708     29.6533
2020/11/19_21:07:32.261337996  9864.3   88.39  295.79  -52.863    0.167 -162.249  -48.633    0.167 -162.249  -52.863  -48.633  -65.885  -69.172     28.9169     29.6151
2020/11/19_21:07:33.275098085  9864.3   88.39  295.78  -52.874    0.166 -162.368  -48.638    0.166 -162.368  -52.874  -48.638  -65.927  -69.025     28.9934     29.7014
2020/11/19_21:07:34.288857937  9864.3   88.39  295.77  -52.880    0.167 -162.572  -48.652    0.167 -162.572  -52.880  -48.652  -65.871  -68.967     28.9035     29.6961
2020/11/19_21:07:35.302618027  9864.3   88.42  294.02  -52.900    0.165 -162.358  -48.656    0.165 -162.358  -52.900  -48.656  -66.013  -69.091     28.6304     29.7012
2020/11/19_21:07:36.316378117  9864.3   88.39  295.73  -52.909    0.167 -162.486  -48.654    0.167 -162.486  -52.909  -48.654  -65.961  -69.325     28.6093     29.4487
2020/11/19_21:07:37.330137968  9864.3   88.39  295.82  -52.924    0.166 -162.818  -48.665    0.166 -162.818  -52.924  -48.665  -65.948  -69.102     28.6038      29.196
2020/11/19_21:07:38.343898058  9864.3   88.39  295.74  -52.937    0.165 -162.490  -48.671    0.165 -162.490  -52.937  -48.671  -65.978  -69.189     28.3947     28.8699
2020/11/19_21:07:39.357657909  9864.3   88.39  295.73  -52.947    0.165 -162.135  -48.683    0.165 -162.135  -52.947  -48.683  -65.963  -69.073     28.2057     28.9006
2020/11/19_21:07:40.371417999  9864.3   88.39  295.73  -52.959    0.166 -162.740  -48.683    0.166 -162.740  -52.959  -48.683  -66.003  -68.924     28.1141     29.0986
2020/11/19_21:07:41.385178089  9864.3   88.39  295.76  -52.968    0.167 -162.779  -48.687    0.167 -162.779  -52.968  -48.687  -66.010  -68.896     28.1326     29.4323
2020/11/19_21:07:42.398937941  9864.3   88.39  295.76  -52.981    0.165 -162.827  -48.692    0.165 -162.827  -52.981  -48.692  -66.087  -69.243     28.1307     29.3948
2020/11/19_21:07:43.412698030  9864.3   88.39  295.75  -52.994    0.165 -162.820  -48.689    0.165 -162.820  -52.994  -48.689  -66.052  -69.253     28.4027     29.1508
2020/11/19_21:07:44.426457882  9864.3   88.39  295.74  -52.999    0.165 -162.996  -48.704    0.165 -162.996  -52.999  -48.704  -66.075  -69.295     28.6284     28.7527
2020/11/19_21:07:45.440217972  9864.3   88.39  295.73  -53.016    0.165 -163.022  -48.704    0.165 -163.022  -53.016  -48.704  -66.157  -68.930     28.8128     28.6747
2020/11/19_21:07:46.453978062  9864.3   88.39  295.72  -53.036    0.165 -162.682  -48.711    0.165 -162.682  -53.036  -48.711  -66.018  -69.009     28.7679      28.768
2020/11/19_21:07:47.467737913  9864.3   88.39  295.72  -53.043    0.165 -163.261  -48.719    0.165 -163.261  -53.043  -48.719  -66.008  -69.377     28.6828     28.8534
2020/11/19_21:07:48.481498003  9864.3   88.39  295.72  -53.048    0.165 -163.609  -48.718    0.165 -163.609  -53.048  -48.718  -66.113  -69.542     28.4435     28.8347
2020/11/19_21:07:49.495258093  9864.3   88.39  295.70  -53.055    0.166 -163.450  -48.729    0.166 -163.450  -53.055  -48.729  -66.161  -69.596     28.3683     28.6802
