# RUN INFO: year,month,day,hour,min,sec,nSamples,startGate,nGates
# 2020,12,19,00,51,50,10000,100,300
# OPS INFO: siteName,radarName,alt,lat,lon,startRange,gateSpacing,scanMode,xmitRcvMode,prfMode,xmitPhaseMode,wavelenCm,beamWidthH,beamWidthV
#,HCR,1609,40.0379,-105.241,-198,19.1867,12,8,1,1,0.317556,0.75,0.72
# DUAL CHANNEL MODE:
#   Start gate: 100
#   N gates: 300
#   N samples: 10000
# OPS INFO: siteName,radarName,alt,lat,lon,startRange,gateSpacing,scanMode,xmitRcvMode,prfMode,xmitPhaseMode,wavelenCm,beamWidthH,beamWidthV
#,HCR,1609,40.0379,-105.241,-198,19.1867,12,8,1,1,0.317556,0.75,0.72
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1    HLnaTemp    VLnaTemp
2020/11/05_19:44:03.491940975  9864.3   88.40  295.82  -71.019    0.076   30.318  -72.153    0.076   30.318  -71.019  -72.153      22.347      20.089
2020/11/05_19:44:04.505701065  9864.3   88.41  295.82  -71.027    0.078   28.400  -72.153    0.078   28.400  -71.027  -72.153     22.3325     19.8185
2020/11/05_19:44:05.519460917  9864.3   88.41  295.80  -71.006    0.074   31.274  -72.154    0.074   31.274  -71.006  -72.154     22.3261     19.8216
2020/11/05_19:44:06.533221006  9864.3   88.41  295.80  -71.024    0.076   29.153  -72.165    0.076   29.153  -71.024  -72.165     22.1046     19.7008
2020/11/05_19:44:07.546981096  9864.3   88.41  295.80  -71.026    0.078   27.508  -72.137    0.078   27.508  -71.026  -72.137     21.9062     19.5499
2020/11/05_19:44:08.560740948  9864.3   88.41  295.78  -71.019    0.075   31.074  -72.152    0.075   31.074  -71.019  -72.152     22.0229     19.2961
2020/11/05_19:44:09.574501038  9864.3   88.40  295.76  -71.034    0.076   29.055  -72.167    0.076   29.055  -71.034  -72.167     22.4049     19.4927
2020/11/05_19:44:10.588260889  9864.3   88.40  295.75  -71.030    0.078   28.067  -72.146    0.078   28.067  -71.030  -72.146     22.5883     19.8294
2020/11/05_19:44:11.602020979  9864.3   88.40  295.75  -71.013    0.076   30.268  -72.146    0.076   30.268  -71.013  -72.146     22.6295     19.9776
2020/11/05_19:44:12.615781069  9864.3   88.40  295.75  -71.023    0.076   29.712  -72.165    0.076   29.712  -71.023  -72.165     22.3679     19.9518
2020/11/05_19:44:13.629540920  9864.3   88.40  295.73  -71.019    0.075   29.655  -72.138    0.075   29.655  -71.019  -72.138     22.1367     19.7166
2020/11/05_19:44:14.643301010  9864.3   88.40  295.70  -71.006    0.075   31.324  -72.126    0.075   31.324  -71.006  -72.126     22.3464     19.7592
2020/11/05_19:44:15.657061100  9864.3   88.40  295.67  -71.015    0.075   30.711  -72.162    0.075   30.711  -71.015  -72.162     22.5125      19.914
2020/11/05_19:44:16.670820951  9864.3   88.40  295.68  -71.012    0.074   31.410  -72.147    0.074   31.410  -71.012  -72.147     22.3792     19.8189
2020/11/05_19:44:17.684581041  9864.3   88.40  295.79  -71.028    0.076   27.834  -72.167    0.076   27.834  -71.028  -72.167      22.142     19.8746
2020/11/05_19:44:18.698340893  9864.3   88.40  295.73  -71.034    0.078   26.842  -72.167    0.078   26.842  -71.034  -72.167     22.1856     19.9101
2020/11/05_19:44:19.712100983  9864.3   88.40  295.72  -71.047    0.079   25.911  -72.190    0.079   25.911  -71.047  -72.190     22.5097     20.2836
2020/11/05_19:44:20.725861073  9864.3   88.40  295.69  -71.046    0.081   24.945  -72.190    0.081   24.945  -71.046  -72.190     22.8304     20.4536
2020/11/05_19:44:21.739620924  9864.3   88.40  295.69  -71.046    0.080   24.834  -72.193    0.080   24.834  -71.046  -72.193     22.5269     20.3717
2020/11/05_19:44:22.753381014  9864.3   88.40  295.69  -71.045    0.079   26.036  -72.181    0.079   26.036  -71.045  -72.181     22.3713     20.2853
2020/11/05_19:44:23.767141104  9864.3   88.40  295.68  -71.037    0.078   26.364  -72.170    0.078   26.364  -71.037  -72.170      22.083     20.1504
2020/11/05_19:44:24.780900955  9864.3   88.40  295.69  -71.038    0.079   27.235  -72.184    0.079   27.235  -71.038  -72.184     22.1724     20.0467
2020/11/05_19:44:25.794661045  9864.3   88.40  295.73  -71.033    0.076   27.918  -72.195    0.076   27.918  -71.033  -72.195     22.3013      19.848
2020/11/05_19:44:26.808420897  9864.3   88.40  295.69  -71.025    0.076   28.899  -72.174    0.076   28.899  -71.025  -72.174     22.2649     19.4912
2020/11/05_19:44:27.822180986  9864.3   88.40  295.69  -71.023    0.074   30.472  -72.194    0.074   30.472  -71.023  -72.194     22.2039     19.4192
2020/11/05_19:44:28.835941076  9864.3   88.40  295.69  -71.051    0.078   26.502  -72.239    0.078   26.502  -71.051  -72.239     22.1113     19.8432
2020/11/05_19:44:29.849700928  9864.3   88.40  295.75  -71.048    0.076   27.714  -72.223    0.076   27.714  -71.048  -72.223     22.0231     20.0328
2020/11/05_19:44:30.863461018  9864.3   88.40  295.71  -71.055    0.080   24.377  -72.199    0.080   24.377  -71.055  -72.199      21.895     19.8176
2020/11/05_19:44:31.877221107  9864.3   88.40  295.70  -71.046    0.079   24.999  -72.225    0.079   24.999  -71.046  -72.225      21.868      19.752
# NOTE: end of file encountered
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1    HLnaTemp    VLnaTemp
2020/11/05_19:44:32.890980959  9864.3   88.40  295.82  -71.041    0.076   26.454  -72.237    0.076   26.454  -71.041  -72.237       22.05     19.9186
2020/11/05_19:44:33.904741049  9864.3   88.40  295.76  -71.052    0.079   24.259  -72.246    0.079   24.259  -71.052  -72.246     22.2358     20.2353
2020/11/05_19:44:34.918500900  9864.3   88.40  295.76  -71.057    0.079   24.207  -72.224    0.079   24.207  -71.057  -72.224     22.7467      20.516
2020/11/05_19:44:35.932260990  9864.3   88.40  295.76  -71.053    0.079   25.171  -72.185    0.079   25.171  -71.053  -72.185     22.6712     20.3269
2020/11/05_19:44:36.946021080  9864.3   88.40  295.76  -71.042    0.076   27.516  -72.221    0.076   27.516  -71.042  -72.221     22.7731     20.0108
2020/11/05_19:44:37.959780931  9864.3   88.40  295.76  -71.033    0.075   27.930  -72.222    0.075   27.930  -71.033  -72.222     22.6625     19.6613
2020/11/05_19:44:38.973541021  9864.3   88.40  295.76  -71.028    0.075   29.489  -72.192    0.075   29.489  -71.028  -72.192     22.3941     19.7818
2020/11/05_19:44:39.987301111  9864.3   88.40  295.76  -71.023    0.076   28.541  -72.197    0.076   28.541  -71.023  -72.197     22.4532     20.0316
2020/11/05_19:44:41.001060963  9864.3   88.40  295.76  -71.017    0.075   30.000  -72.155    0.075   30.000  -71.017  -72.155     22.2445     20.1303
2020/11/05_19:44:42.014821053  9864.3   88.40  295.87  -71.031    0.077   28.443  -72.185    0.077   28.443  -71.031  -72.185     22.2187     20.1253
2020/11/05_19:44:43.028580904  9864.3   88.40  295.80  -71.029    0.077   26.652  -72.177    0.077   26.652  -71.029  -72.177     22.3769     19.9662
2020/11/05_19:44:44.042340994  9864.3   88.40  295.80  -71.045    0.078   26.107  -72.198    0.078   26.107  -71.045  -72.198     22.3233     19.8451
2020/11/05_19:44:45.056101084  9864.3   88.40  295.80  -71.022    0.077   28.271  -72.149    0.077   28.271  -71.022  -72.149     22.1179     19.6905
2020/11/05_19:44:46.069860935  9864.3   88.40  295.80  -71.009    0.073   30.928  -72.166    0.073   30.928  -71.009  -72.166      21.978     19.7418
2020/11/05_19:44:47.083621025  9864.3   88.40  295.79  -71.027    0.077   27.865  -72.178    0.077   27.865  -71.027  -72.178     22.1171     19.7909
2020/11/05_19:44:48.097381115  9864.3   88.40  295.79  -71.036    0.078   27.170  -72.145    0.078   27.170  -71.036  -72.145     22.1791     19.9194
2020/11/05_19:44:49.111140966  9864.3   88.40  295.78  -71.035    0.078   26.633  -72.146    0.078   26.633  -71.035  -72.146     22.1641     19.8415
2020/11/05_19:44:50.124901056  9864.3   88.40  295.89  -71.015    0.076   28.213  -72.118    0.076   28.213  -71.015  -72.118     22.0279     19.7737
2020/11/05_19:44:51.138660908  9864.3   88.40  295.83  -71.012    0.077   27.340  -72.104    0.077   27.340  -71.012  -72.104     21.9574     19.7384
2020/11/05_19:44:52.152420998  9864.3   88.40  295.83  -71.025    0.078   26.404  -72.125    0.078   26.404  -71.025  -72.125     21.9345     19.5407
2020/11/05_19:44:53.166181087  9864.3   88.40  295.81  -71.015    0.076   29.384  -72.124    0.076   29.384  -71.015  -72.124     22.0999     19.3986
2020/11/05_19:44:54.179940939  9864.3   88.40  295.82  -71.012    0.076   29.664  -72.076    0.076   29.664  -71.012  -72.076     22.4211     19.4276
2020/11/05_19:44:55.193701029  9864.3   88.40  295.81  -71.010    0.077   28.422  -72.109    0.077   28.422  -71.010  -72.109     22.7211     19.4803
2020/11/05_19:44:56.207461119  9864.3   88.40  295.80  -71.019    0.077   27.023  -72.118    0.077   27.023  -71.019  -72.118     22.7632     19.6785
2020/11/05_19:44:57.221220970  9864.3   88.40  295.79  -71.026    0.077   26.759  -72.120    0.077   26.759  -71.026  -72.120     22.6275      19.793
2020/11/05_19:44:58.234981060  9864.3   88.40  295.79  -71.018    0.078   28.119  -72.107    0.078   28.119  -71.018  -72.107     22.3396     19.7343
2020/11/05_19:44:59.248740911  9864.3   88.40  295.79  -71.011    0.077   29.678  -72.128    0.077   29.678  -71.011  -72.128     22.4465     19.6873
2020/11/05_19:45:00.262501001  9864.3   88.40  295.79  -71.009    0.074   30.131  -72.135    0.074   30.131  -71.009  -72.135     22.7123      19.591
2020/11/05_19:45:01.276261091  9864.3   88.40  295.80  -71.016    0.075   28.952  -72.148    0.075   28.952  -71.016  -72.148     22.8334     19.6609
2020/11/05_19:45:02.290020943  9864.3   88.40  295.81  -71.023    0.077   28.566  -72.156    0.077   28.566  -71.023  -72.156     22.6314     19.7932
# NOTE: end of file encountered
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1    HLnaTemp    VLnaTemp
2020/11/05_19:45:03.303781033  9864.3   88.40  295.82  -71.004    0.075   31.247  -72.124    0.075   31.247  -71.004  -72.124     22.3468     19.8121
2020/11/05_19:45:04.317540884  9864.3   88.40  295.81  -71.007    0.074   32.180  -72.126    0.074   32.180  -71.007  -72.126     22.2113       19.72
2020/11/05_19:45:05.331300974  9864.3   88.40  295.81  -71.000    0.075   32.824  -72.121    0.075   32.824  -71.000  -72.121     22.1323      19.627
2020/11/05_19:45:06.345061064  9864.3   88.40  295.81  -71.021    0.076   28.826  -72.131    0.076   28.826  -71.021  -72.131     22.1895     19.5207
2020/11/05_19:45:07.358820915  9864.3   88.40  295.91  -71.010    0.077   29.074  -72.105    0.077   29.074  -71.010  -72.105     22.1726     19.5935
2020/11/05_19:45:08.372581005  9864.3   88.40  295.82  -71.021    0.077   28.241  -72.140    0.077   28.241  -71.021  -72.140     22.0459     19.4631
2020/11/05_19:45:09.386341095  9864.3   88.40  295.82  -71.020    0.077   28.349  -72.133    0.077   28.349  -71.020  -72.133     22.1463     19.4808
2020/11/05_19:45:10.400100946  9864.3   88.42  295.58  -71.033    0.080   26.325  -72.132    0.080   26.325  -71.033  -72.132     22.1098      19.399
2020/11/05_19:45:11.413861036  9864.3   88.40  295.82  -71.017    0.077   28.399  -72.124    0.077   28.399  -71.017  -72.124     22.3535     19.3885
2020/11/05_19:45:12.427620888  9864.3   88.40  295.83  -71.024    0.079   26.489  -72.123    0.079   26.489  -71.024  -72.123     22.7279      19.351
2020/11/05_19:45:13.441380978  9864.3   88.40  295.83  -71.004    0.076   30.632  -72.106    0.076   30.632  -71.004  -72.106     22.7095     19.5502
2020/11/05_19:45:14.455141068  9864.3   88.40  295.81  -71.023    0.075   29.710  -72.152    0.075   29.710  -71.023  -72.152     22.3859     19.6759
2020/11/05_19:45:15.468900919  9864.3   88.40  295.81  -71.017    0.076   29.810  -72.155    0.076   29.810  -71.017  -72.155     22.1317     19.9936
2020/11/05_19:45:16.482661009  9864.3   88.40  295.87  -71.019    0.075   31.258  -72.176    0.075   31.258  -71.019  -72.176     22.1824     20.0547
2020/11/05_19:45:17.496421099  9864.3   88.40  295.79  -71.024    0.074   29.484  -72.238    0.074   29.484  -71.024  -72.238     22.3085     20.0127
2020/11/05_19:45:18.510180950  9864.3   88.40  295.79  -71.037    0.074   28.216  -72.266    0.074   28.216  -71.037  -72.266     22.2822     20.0128
2020/11/05_19:45:19.523941040  9864.3   88.40  295.84  -71.034    0.075   28.386  -72.238    0.075   28.386  -71.034  -72.238     22.0213     20.0253
2020/11/05_19:45:20.537700891  9864.3   88.40  295.81  -71.023    0.074   29.145  -72.224    0.074   29.145  -71.023  -72.224      21.953     20.0389
2020/11/05_19:45:21.551460981  9864.3   88.40  295.81  -71.030    0.074   30.489  -72.205    0.074   30.489  -71.030  -72.205     22.0428     19.8201
2020/11/05_19:45:22.565221071  9864.3   88.40  295.81  -71.036    0.076   27.687  -72.215    0.076   27.687  -71.036  -72.215     22.1815     19.5574
2020/11/05_19:45:23.578980923  9864.3   88.40  295.81  -71.018    0.075   29.469  -72.189    0.075   29.469  -71.018  -72.189     22.3291     19.6292
2020/11/05_19:45:24.592741013  9864.3   88.40  295.82  -71.023    0.074   30.729  -72.240    0.074   30.729  -71.023  -72.240      22.365     19.7726
2020/11/05_19:45:25.606501102  9864.3   88.40  295.83  -71.034    0.073   29.699  -72.253    0.073   29.699  -71.034  -72.253     22.2534      19.829
2020/11/05_19:45:26.620260954  9864.3   88.40  295.88  -71.032    0.074   29.451  -72.235    0.074   29.451  -71.032  -72.235     22.1042     19.8533
2020/11/05_19:45:27.634021044  9864.3   88.40  295.87  -71.020    0.074   30.001  -72.192    0.074   30.001  -71.020  -72.192     22.2369     19.9032
2020/11/05_19:45:28.647780895  9864.3   88.40  295.86  -71.033    0.075   28.633  -72.195    0.075   28.633  -71.033  -72.195      22.402     19.9858
2020/11/05_19:45:29.661540985  9864.3   88.40  295.88  -71.017    0.075   31.043  -72.172    0.075   31.043  -71.017  -72.172     22.5086     19.9991
2020/11/05_19:45:30.675301075  9864.3   88.40  295.87  -71.009    0.072   32.239  -72.168    0.072   32.239  -71.009  -72.168       22.17     19.9626
2020/11/05_19:45:31.689060926  9864.3   88.40  295.83  -71.018    0.075   29.305  -72.191    0.075   29.305  -71.018  -72.191     22.2573     20.1168
2020/11/05_19:45:32.702821016  9864.3   88.40  295.84  -71.025    0.077   28.168  -72.129    0.077   28.168  -71.025  -72.129     22.4194     20.2561
# NOTE: end of file encountered
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1    HLnaTemp    VLnaTemp
2020/11/05_19:45:33.716581106  9864.3   88.40  295.94  -71.031    0.080   26.664  -72.165    0.080   26.664  -71.031  -72.165     22.4971     20.1455
2020/11/05_19:45:34.730340958  9864.3   88.40  295.89  -71.015    0.075   29.778  -72.153    0.075   29.778  -71.015  -72.153      22.354     19.8664
2020/11/05_19:45:35.744101048  9864.3   88.40  295.86  -71.019    0.078   27.700  -72.127    0.078   27.700  -71.019  -72.127     22.6394     19.8205
2020/11/05_19:45:36.757860899  9864.3   88.40  295.86  -71.024    0.078   26.510  -72.151    0.078   26.510  -71.024  -72.151      22.702     19.7319
2020/11/05_19:45:37.771620989  9864.3   88.40  295.86  -71.032    0.078   26.804  -72.178    0.078   26.804  -71.032  -72.178     22.6911     19.5571
2020/11/05_19:45:38.785381079  9864.3   88.40  295.86  -71.031    0.075   27.165  -72.207    0.075   27.165  -71.031  -72.207     22.7237     19.4539
2020/11/05_19:45:39.799140930  9864.3   88.40  295.87  -71.034    0.076   26.227  -72.214    0.076   26.227  -71.034  -72.214     22.8355     19.4974
2020/11/05_19:45:40.812901020  9864.3   88.40  295.98  -71.027    0.073   28.786  -72.231    0.073   28.786  -71.027  -72.231     22.7867     19.8113
2020/11/05_19:45:41.826661110  9864.3   88.40  295.93  -71.031    0.077   27.322  -72.201    0.077   27.322  -71.031  -72.201     22.2832      19.984
2020/11/05_19:45:42.840420961  9864.3   88.40  296.01  -71.011    0.076   29.121  -72.158    0.076   29.121  -71.011  -72.158     21.6511     20.0293
2020/11/05_19:45:43.854181051  9864.3   88.40  295.96  -71.008    0.075   30.350  -72.195    0.075   30.350  -71.008  -72.195     21.8407     19.8756
2020/11/05_19:45:44.867940903  9864.3   88.40  295.96  -71.012    0.074   30.109  -72.174    0.074   30.109  -71.012  -72.174     22.0278      19.825
2020/11/05_19:45:45.881700993  9864.3   88.40  295.95  -70.995    0.072   32.594  -72.154    0.072   32.594  -70.995  -72.154      22.163     19.8444
2020/11/05_19:45:46.895461082  9864.3   88.40  295.96  -71.023    0.077   28.386  -72.137    0.077   28.386  -71.023  -72.137     22.1565     19.6746
2020/11/05_19:45:47.909220934  9864.3   88.40  295.95  -71.018    0.076   28.966  -72.151    0.076   28.966  -71.018  -72.151     22.2416     19.5985
2020/11/05_19:45:48.922981024  9864.3   88.40  295.95  -71.010    0.077   29.805  -72.130    0.077   29.805  -71.010  -72.130     22.3057     19.6714
2020/11/05_19:45:49.936741114  9864.3   88.40  295.94  -71.015    0.077   27.848  -72.140    0.077   27.848  -71.015  -72.140     22.0355     19.6039
2020/11/05_19:45:50.950500965  9864.3   88.40  295.88  -71.027    0.077   27.497  -72.168    0.077   27.497  -71.027  -72.168     21.8815     19.4735
2020/11/05_19:45:51.964261055  9864.3   88.40  295.89  -71.038    0.079   25.514  -72.192    0.079   25.514  -71.038  -72.192     22.0484      19.467
2020/11/05_19:45:52.978020906  9864.3   88.40  295.89  -71.036    0.078   25.790  -72.164    0.078   25.790  -71.036  -72.164      22.362     19.5854
2020/11/05_19:45:53.991780996  9864.3   88.40  295.88  -71.045    0.077   26.330  -72.195    0.077   26.330  -71.045  -72.195     22.2884     19.5885
2020/11/05_19:45:55.005541086  9864.3   88.42  295.64  -71.028    0.076   28.547  -72.189    0.076   28.547  -71.028  -72.189     22.2201     19.5607
2020/11/05_19:45:56.019300938  9864.3   88.40  295.87  -71.023    0.077   27.619  -72.124    0.077   27.619  -71.023  -72.124     21.9866     19.6365
2020/11/05_19:45:57.033061028  9864.3   88.40  295.85  -71.019    0.076   28.766  -72.128    0.076   28.766  -71.019  -72.128     22.1905     19.8232
2020/11/05_19:45:58.046821117  9864.3   88.40  295.86  -71.016    0.077   27.683  -72.121    0.077   27.683  -71.016  -72.121     22.4284     19.9846
2020/11/05_19:45:59.060580969  9864.3   88.40  295.86  -71.029    0.079   27.118  -72.130    0.079   27.118  -71.029  -72.130     22.4262      20.168
2020/11/05_19:46:00.074341059  9864.3   88.40  295.85  -71.003    0.074   31.912  -72.122    0.074   31.912  -71.003  -72.122     22.3611      20.228
2020/11/05_19:46:01.088100910  9864.3   88.40  295.85  -71.010    0.076   29.190  -72.141    0.076   29.190  -71.010  -72.141     22.3535     20.2929
2020/11/05_19:46:02.101861000  9864.3   88.40  295.85  -71.011    0.075   30.401  -72.145    0.075   30.401  -71.011  -72.145     22.5441     20.3532
2020/11/05_19:46:03.115621090  9864.3   88.40  295.85  -71.023    0.076   28.477  -72.194    0.076   28.477  -71.023  -72.194     22.5967     20.3572
# NOTE: end of file encountered
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1    HLnaTemp    VLnaTemp
2020/11/05_19:46:04.129380941  9864.3   88.40  295.85  -71.043    0.078   25.765  -72.204    0.078   25.765  -71.043  -72.204     22.3486     20.3035
2020/11/05_19:46:05.143141031  9864.3   88.40  295.86  -71.023    0.075   29.075  -72.192    0.075   29.075  -71.023  -72.192     22.3219     20.0941
2020/11/05_19:46:06.156900883  9864.3   88.40  295.86  -71.028    0.078   26.950  -72.173    0.078   26.950  -71.028  -72.173     22.3785     19.8988
2020/11/05_19:46:07.170660973  9864.3   88.40  295.86  -71.026    0.075   27.735  -72.178    0.075   27.735  -71.026  -72.178     22.1491     19.8718
2020/11/05_19:46:08.184421062  9864.3   88.40  295.86  -71.022    0.075   30.052  -72.154    0.075   30.052  -71.022  -72.154     22.1154     19.9328
2020/11/05_19:46:09.198180914  9864.3   88.40  295.87  -71.008    0.076   29.935  -72.109    0.076   29.935  -71.008  -72.109       22.41     20.1322
2020/11/05_19:46:10.211941004  9864.3   88.40  295.81  -71.018    0.078   27.960  -72.127    0.078   27.960  -71.018  -72.127     22.5417     20.1304
2020/11/05_19:46:11.225701094  9864.3   88.40  295.82  -71.018    0.076   29.233  -72.146    0.076   29.233  -71.018  -72.146     22.3159     20.0946
2020/11/05_19:46:12.239460945  9864.3   88.40  295.83  -71.013    0.075   29.887  -72.145    0.075   29.887  -71.013  -72.145     22.0411     20.0306
2020/11/05_19:46:13.253221035  9864.3   88.40  295.83  -71.024    0.075   28.599  -72.156    0.075   28.599  -71.024  -72.156     21.9451     20.0676
2020/11/05_19:46:14.266980886  9864.3   88.40  295.83  -71.030    0.077   27.902  -72.131    0.077   27.902  -71.030  -72.131     22.0982     19.9536
2020/11/05_19:46:15.280740976  9864.3   88.40  295.83  -71.023    0.077   28.650  -72.142    0.077   28.650  -71.023  -72.142     22.1897     19.6365
2020/11/05_19:46:16.294501066  9864.3   88.40  295.84  -71.022    0.077   27.947  -72.135    0.077   27.947  -71.022  -72.135     22.1295     19.5871
2020/11/05_19:46:17.308260918  9864.3   88.40  295.84  -71.017    0.078   27.863  -72.121    0.078   27.863  -71.017  -72.121     21.6781       19.59
2020/11/05_19:46:18.322021008  9864.3   88.40  295.83  -71.006    0.075   29.738  -72.119    0.075   29.738  -71.006  -72.119     21.7059     19.9897
2020/11/05_19:46:19.335781097  9864.3   88.40  295.82  -71.017    0.076   29.885  -72.125    0.076   29.885  -71.017  -72.125     21.9142     20.3178
2020/11/05_19:46:20.349540949  9864.3   88.40  295.82  -71.024    0.078   27.136  -72.129    0.078   27.136  -71.024  -72.129      22.128     20.0101
2020/11/05_19:46:21.363301039  9864.3   88.40  295.82  -70.997    0.075   30.853  -72.099    0.075   30.853  -70.997  -72.099     22.0443     19.8334
2020/11/05_19:46:22.377060890  9864.3   88.40  295.81  -70.996    0.075   31.572  -72.065    0.075   31.572  -70.996  -72.065     21.9112     19.9248
2020/11/05_19:46:23.390820980  9864.3   88.40  295.81  -71.010    0.076   28.680  -72.069    0.076   28.680  -71.010  -72.069     22.2242     20.0162
2020/11/05_19:46:24.404581070  9864.3   88.40  295.82  -70.995    0.075   32.432  -72.046    0.075   32.432  -70.995  -72.046     22.2977     19.9564
2020/11/05_19:46:25.418340921  9864.3   88.40  295.81  -70.984    0.074   33.472  -72.056    0.074   33.472  -70.984  -72.056     22.4651     19.9034
2020/11/05_19:46:26.432101011  9864.3   88.40  295.81  -70.981    0.074   34.049  -72.045    0.074   34.049  -70.981  -72.045     22.4676     19.8732
2020/11/05_19:46:27.445861101  9864.3   88.40  295.82  -71.004    0.076   30.957  -72.082    0.076   30.957  -71.004  -72.082     22.2967     19.9543
2020/11/05_19:46:28.459620953  9864.3   88.40  295.82  -70.990    0.073   33.809  -72.054    0.073   33.809  -70.990  -72.054     22.3196      19.699
2020/11/05_19:46:29.473381042  9864.3   88.40  295.83  -71.000    0.075   31.776  -72.070    0.075   31.776  -71.000  -72.070     22.7659     19.8781
2020/11/05_19:46:30.487140894  9864.3   88.40  295.84  -70.994    0.074   32.231  -72.051    0.074   32.231  -70.994  -72.051     23.0091     20.0196
2020/11/05_19:46:31.500900984  9864.3   88.40  295.86  -71.011    0.077   29.625  -72.095    0.077   29.625  -71.011  -72.095     23.1139     20.2442
2020/11/05_19:46:32.514661074  9864.3   88.40  295.86  -71.015    0.078   26.946  -72.096    0.078   26.946  -71.015  -72.096     22.7751     20.3413
2020/11/05_19:46:33.528420925  9864.3   88.40  295.86  -71.015    0.077   28.947  -72.086    0.077   28.947  -71.015  -72.086     22.5816     20.1514
# NOTE: end of file encountered
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1    HLnaTemp    VLnaTemp
2020/11/05_19:46:34.542181015  9864.3   88.40  295.98  -71.009    0.076   29.481  -72.083    0.076   29.481  -71.009  -72.083     22.6144      20.131
2020/11/05_19:46:35.555941105  9864.3   88.40  295.93  -71.001    0.075   29.978  -72.071    0.075   29.978  -71.001  -72.071     22.8572     20.2585
2020/11/05_19:46:36.569700956  9864.3   88.40  295.94  -71.005    0.075   31.001  -72.071    0.075   31.001  -71.005  -72.071     22.7834     20.2322
2020/11/05_19:46:37.583461046  9864.3   88.40  295.95  -71.014    0.076   27.903  -72.113    0.076   27.903  -71.014  -72.113     22.5516     20.0852
2020/11/05_19:46:38.597220898  9864.3   88.40  295.95  -71.008    0.075   31.586  -72.116    0.075   31.586  -71.008  -72.116      22.152     19.9729
2020/11/05_19:46:39.610980988  9864.3   88.40  295.95  -71.008    0.075   31.599  -72.122    0.075   31.599  -71.008  -72.122     22.1581     19.9331
2020/11/05_19:46:40.624741077  9864.3   88.40  295.97  -71.004    0.075   31.291  -72.112    0.075   31.291  -71.004  -72.112     22.2213     19.8775
2020/11/05_19:46:41.638500929  9864.3   88.40  295.97  -71.014    0.077   29.360  -72.119    0.077   29.360  -71.014  -72.119     22.2974     19.8224
2020/11/05_19:46:42.652261019  9864.3   88.40  295.97  -71.019    0.076   28.805  -72.139    0.076   28.805  -71.019  -72.139     22.5171     19.7388
2020/11/05_19:46:43.666021109  9864.3   88.40  295.96  -71.008    0.074   32.433  -72.128    0.074   32.433  -71.008  -72.128     22.7752     19.7259
2020/11/05_19:46:44.679780960  9864.3   88.40  295.96  -70.996    0.074   34.291  -72.069    0.074   34.291  -70.996  -72.069     22.8147     19.7647
2020/11/05_19:46:45.693541050  9864.3   88.40  295.97  -71.002    0.076   33.280  -72.073    0.076   33.280  -71.002  -72.073     22.7895     19.7578
2020/11/05_19:46:46.707300901  9864.3   88.40  295.97  -71.011    0.075   32.739  -72.095    0.075   32.739  -71.011  -72.095     22.5509     19.7377
2020/11/05_19:46:47.721060991  9864.3   88.40  295.96  -70.990    0.074   34.812  -72.072    0.074   34.812  -70.990  -72.072     22.4186     19.7733
2020/11/05_19:46:48.734821081  9864.3   88.40  295.96  -70.995    0.074   33.850  -72.071    0.074   33.850  -70.995  -72.071     22.5133     20.0698
2020/11/05_19:46:49.748580933  9864.3   88.40  295.96  -70.995    0.075   33.688  -72.073    0.075   33.688  -70.995  -72.073     22.8035     20.4578
2020/11/05_19:46:50.762341022  9864.3   88.40  295.97  -70.991    0.075   33.848  -72.051    0.075   33.848  -70.991  -72.051     22.7593     20.4471
2020/11/05_19:46:51.776101112  9864.3   88.40  295.96  -71.001    0.075   32.942  -72.075    0.075   32.942  -71.001  -72.075     22.5927     20.1606
2020/11/05_19:46:52.789860964  9864.3   88.40  295.97  -71.000    0.074   33.206  -72.111    0.074   33.206  -71.000  -72.111     22.4379     20.0664
2020/11/05_19:46:53.803621054  9864.3   88.40  295.96  -70.993    0.073   34.004  -72.075    0.073   34.004  -70.993  -72.075     22.4937     20.3869
2020/11/05_19:46:54.817380905  9864.3   88.40  295.93  -71.004    0.075   32.971  -72.087    0.075   32.971  -71.004  -72.087     22.4958      20.476
2020/11/05_19:46:55.831140995  9864.3   88.40  295.95  -70.995    0.075   31.982  -72.060    0.075   31.982  -70.995  -72.060     22.3785     20.1534
2020/11/05_19:46:56.844901085  9864.3   88.40  295.95  -71.009    0.077   30.337  -72.083    0.077   30.337  -71.009  -72.083     22.4135     19.8445
2020/11/05_19:46:57.858660936  9864.3   88.40  295.95  -71.014    0.078   28.903  -72.099    0.078   28.903  -71.014  -72.099     22.4201     19.7202
