# RUN INFO: year,month,day,hour,min,sec,nSamples,startGate,nGates
# 2020,12,19,00,51,50,10000,100,300
# OPS INFO: siteName,radarName,alt,lat,lon,startRange,gateSpacing,scanMode,xmitRcvMode,prfMode,xmitPhaseMode,wavelenCm,beamWidthH,beamWidthV
#,HCR,1609,40.0379,-105.241,-198,19.1867,12,8,1,1,0.317556,0.75,0.72
# DUAL CHANNEL MODE:
#   Start gate: 100
#   N gates: 300
#   N samples: 10000
# OPS INFO: siteName,radarName,alt,lat,lon,startRange,gateSpacing,scanMode,xmitRcvMode,prfMode,xmitPhaseMode,wavelenCm,beamWidthH,beamWidthV
#,HCR,1609,40.0379,-105.241,-198,19.1867,12,8,1,1,0.317556,0.75,0.72
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1    HLnaTemp    VLnaTemp
2020/11/05_19:29:54.974719048  9864.3    0.00    0.00  -71.021    0.082   27.045  -72.172    0.082   27.045  -71.021  -72.172     21.4673      19.072
2020/11/05_19:29:55.988480091  9864.3    0.00    0.00  -71.011    0.079   30.892  -72.178    0.079   30.892  -71.011  -72.178     21.1969      19.228
2020/11/05_19:29:57.002239943  9864.3    0.00    0.00  -71.041    0.083   25.885  -72.187    0.083   25.885  -71.041  -72.187     21.5019     19.5188
2020/11/05_19:29:58.015999079  9864.3    0.00    0.00  -71.028    0.084   26.000  -72.183    0.084   26.000  -71.028  -72.183     21.6077     19.1688
2020/11/05_19:29:59.029759884  9864.3    0.00    0.00  -71.019    0.082   28.832  -72.165    0.082   28.832  -71.019  -72.165     21.4619     18.8155
2020/11/05_19:30:00.043519974  9864.3    0.00    0.00  -71.026    0.083   26.411  -72.162    0.083   26.411  -71.026  -72.162     21.6081     19.1085
2020/11/05_19:30:01.057279110  9864.3    0.00    0.00  -71.042    0.082   25.763  -72.176    0.082   25.763  -71.042  -72.176     21.0199      19.005
2020/11/05_19:30:02.071038961  9864.3    0.00    0.00  -71.017    0.080   29.741  -72.169    0.080   29.741  -71.017  -72.169     21.3949     19.1151
2020/11/05_19:30:03.084800005  9864.3    0.00    0.00  -71.026    0.080   28.511  -72.169    0.080   28.511  -71.026  -72.169     21.3507     18.9963
2020/11/05_19:30:04.098558903  9864.3    0.00    0.00  -71.022    0.078   29.964  -72.153    0.078   29.964  -71.022  -72.153      21.159      18.617
2020/11/05_19:30:05.112318993  9864.3    0.00    0.00  -71.026    0.080   28.291  -72.167    0.080   28.291  -71.026  -72.167     21.4727     18.7738
2020/11/05_19:30:06.126080036  9864.3    0.00    0.00  -71.031    0.079   30.230  -72.203    0.079   30.230  -71.031  -72.203     21.7679     18.8695
2020/11/05_19:30:07.139838934  9864.3    0.00    0.00  -71.007    0.077   31.745  -72.174    0.077   31.745  -71.007  -72.174     21.7241     18.9875
2020/11/05_19:30:08.153599024  9864.3    0.00    0.00  -71.015    0.076   32.715  -72.198    0.076   32.715  -71.015  -72.198     22.0518     19.2973
2020/11/05_19:30:09.167360067  9864.3    0.00    0.00  -71.019    0.078   29.832  -72.204    0.078   29.832  -71.019  -72.204     21.8271     19.3126
2020/11/05_19:30:10.181118965  9864.3    0.00    0.00  -71.012    0.078   29.889  -72.214    0.078   29.889  -71.012  -72.214     22.2056     19.2775
2020/11/05_19:30:11.194879055  9864.3    0.00    0.00  -71.025    0.078   29.123  -72.210    0.078   29.123  -71.025  -72.210     22.0017     19.0713
2020/11/05_19:30:12.208640099  9864.3    0.00    0.00  -71.050    0.080   27.367  -72.202    0.080   27.367  -71.050  -72.202      21.991     18.7453
2020/11/05_19:30:13.222399950  9864.3    0.00    0.00  -71.030    0.078   30.098  -72.176    0.078   30.098  -71.030  -72.176     21.6465     18.8806
2020/11/05_19:30:14.236159086  9864.3    0.00    0.00  -71.059    0.078   27.031  -72.232    0.078   27.031  -71.059  -72.232     22.0267     19.5199
2020/11/05_19:30:15.249919891  9864.3    0.00    0.00  -71.045    0.080   27.518  -72.210    0.080   27.518  -71.045  -72.210      22.059     19.4986
2020/11/05_19:30:16.263679981  9864.3    0.00    0.00  -71.034    0.078   29.305  -72.212    0.078   29.305  -71.034  -72.212     22.3141     19.7376
2020/11/05_19:30:17.277439117  9864.3    0.00    0.00  -71.027    0.080   28.230  -72.211    0.080   28.230  -71.027  -72.211     21.9765     19.3905
2020/11/05_19:30:18.291198969  9864.3    0.00    0.00  -71.041    0.081   25.593  -72.184    0.081   25.593  -71.041  -72.184     22.0826     19.2998
2020/11/05_19:30:19.304960012  9864.3    0.00    0.00  -71.025    0.078   28.035  -72.160    0.078   28.035  -71.025  -72.160     21.9676      19.226
2020/11/05_19:30:20.318718910  9864.3    0.00    0.00  -71.037    0.080   28.322  -72.180    0.080   28.322  -71.037  -72.180     22.2763     19.0685
# NOTE: end of file encountered
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1    HLnaTemp    VLnaTemp
2020/11/05_19:30:21.332479000  9864.3    0.00    0.00  -71.025    0.080   27.808  -72.186    0.080   27.808  -71.025  -72.186      21.933     19.1375
2020/11/05_19:30:22.346240044  9864.3    0.00    0.00  -71.045    0.081   26.889  -72.183    0.081   26.889  -71.045  -72.183     22.0923     19.1944
2020/11/05_19:30:23.359998941  9864.3    0.00    0.00  -71.045    0.081   25.414  -72.177    0.081   25.414  -71.045  -72.177     21.8066     19.2843
2020/11/05_19:30:24.373759985  9864.3    0.00    0.00  -71.043    0.081   26.917  -72.159    0.081   26.917  -71.043  -72.159     21.6654     19.2566
2020/11/05_19:30:25.387518883  9864.3    0.00    0.00  -71.044    0.079   28.500  -72.202    0.079   28.500  -71.044  -72.202     21.5204     19.3049
2020/11/05_19:30:26.401278973  9864.3    0.00    0.00  -71.032    0.077   29.200  -72.196    0.077   29.200  -71.032  -72.196     21.6482     19.3701
2020/11/05_19:30:27.415040016  9864.3    0.00    0.00  -71.038    0.076   29.600  -72.225    0.076   29.600  -71.038  -72.225     21.8819     19.2912
2020/11/05_19:30:28.428798914  9864.3    0.00    0.00  -71.047    0.076   28.739  -72.246    0.076   28.739  -71.047  -72.246      22.098     19.2523
2020/11/05_19:30:29.442559958  9864.3    0.00    0.00  -71.043    0.076   30.182  -72.220    0.076   30.182  -71.043  -72.220     22.0945      19.296
2020/11/05_19:30:30.456320047  9864.3    0.00    0.00  -71.034    0.075   31.982  -72.194    0.075   31.982  -71.034  -72.194     21.7856     19.1759
2020/11/05_19:30:31.470078945  9864.3    0.00    0.00  -71.021    0.076   31.272  -72.211    0.076   31.272  -71.021  -72.211     21.6156     19.1431
2020/11/05_19:30:32.483839989  9864.3    0.00    0.00  -71.026    0.077   30.675  -72.196    0.077   30.675  -71.026  -72.196     21.6422      19.096
2020/11/05_19:30:33.497600079  9864.3    0.00    0.00  -71.013    0.076   31.347  -72.177    0.076   31.347  -71.013  -72.177     21.8584     19.1989
2020/11/05_19:30:34.511358976  9864.3    0.00    0.00  -71.027    0.079   30.277  -72.159    0.079   30.277  -71.027  -72.159     22.0033     19.4385
2020/11/05_19:30:35.525120020  9864.3    0.00    0.00  -71.031    0.078   28.512  -72.159    0.078   28.512  -71.031  -72.159     21.9445     19.6559
2020/11/05_19:30:36.538880110  9864.3    0.00    0.00  -71.041    0.078   28.213  -72.229    0.078   28.213  -71.041  -72.229     21.8895     19.6896
2020/11/05_19:30:37.552639008  9864.3    0.00    0.00  -71.040    0.079   27.754  -72.182    0.079   27.754  -71.040  -72.182     21.6868     19.3253
2020/11/05_19:30:38.566400051  9864.3    0.00    0.00  -71.032    0.079   28.420  -72.168    0.079   28.420  -71.032  -72.168     21.4923      19.042
2020/11/05_19:30:39.580159903  9864.3    0.00    0.00  -71.010    0.077   31.551  -72.149    0.077   31.551  -71.010  -72.149     21.6339     19.3072
2020/11/05_19:30:40.593919039  9864.3    0.00    0.00  -71.012    0.078   29.977  -72.140    0.078   29.977  -71.012  -72.140     21.7841     19.6883
2020/11/05_19:30:41.607680082  9864.3    0.00    0.00  -71.016    0.078   29.159  -72.167    0.078   29.159  -71.016  -72.167     21.8207     19.9937
2020/11/05_19:30:42.621439934  9864.3    0.00    0.00  -71.005    0.077   29.999  -72.147    0.077   29.999  -71.005  -72.147      21.775     19.9624
2020/11/05_19:30:43.635199070  9864.3    0.00    0.00  -71.019    0.077   29.757  -72.161    0.077   29.757  -71.019  -72.161     21.6078     19.7698
2020/11/05_19:30:44.648960114  9864.3    0.00    0.00  -71.024    0.078   27.275  -72.202    0.078   27.275  -71.024  -72.202     21.4245     19.6446
2020/11/05_19:30:45.662719011  9864.3    0.00    0.00  -71.018    0.079   28.483  -72.186    0.079   28.483  -71.018  -72.186     21.2757     19.4362
2020/11/05_19:30:46.676479101  9864.3    0.00    0.00  -71.024    0.079   27.208  -72.191    0.079   27.208  -71.024  -72.191      21.309     19.2759
2020/11/05_19:30:47.690239906  9864.3    0.00    0.00  -71.020    0.077   30.172  -72.182    0.077   30.172  -71.020  -72.182     21.4361     19.1176
2020/11/05_19:30:48.703999043  9864.3    0.00    0.00  -70.998    0.077   31.868  -72.158    0.077   31.868  -70.998  -72.158      21.454     19.1589
2020/11/05_19:30:49.717758894  9864.3    0.00    0.00  -71.008    0.076   31.408  -72.158    0.076   31.408  -71.008  -72.158     21.3963     19.1831
2020/11/05_19:30:50.731519938  9864.3    0.00    0.00  -71.009    0.076   31.487  -72.131    0.076   31.487  -71.009  -72.131     21.3255     19.2075
# NOTE: end of file encountered
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1    HLnaTemp    VLnaTemp
2020/11/05_19:30:51.745279074  9864.3    0.00    0.00  -71.035    0.079   28.210  -72.166    0.079   28.210  -71.035  -72.166     21.3553     19.3578
2020/11/05_19:30:52.759038925  9864.3    0.00    0.00  -71.038    0.078   28.645  -72.158    0.078   28.645  -71.038  -72.158     21.4643     19.5809
2020/11/05_19:30:53.772799969  9864.3    0.00    0.00  -71.033    0.079   28.890  -72.169    0.079   28.890  -71.033  -72.169     21.4914     19.8002
2020/11/05_19:30:54.786559105  9864.3    0.00    0.00  -71.020    0.078   28.951  -72.167    0.078   28.951  -71.020  -72.167     21.6831     19.8568
2020/11/05_19:30:55.800318956  9864.3    0.00    0.00  -71.033    0.079   28.771  -72.169    0.079   28.771  -71.033  -72.169     21.7414     19.6512
2020/11/05_19:30:56.814181089  9864.3   88.40  296.02  -71.061    0.080   27.633  -72.154    0.080   27.633  -71.061  -72.154     21.6634     19.4011
2020/11/05_19:30:57.827940941  9864.3   88.40  296.01  -71.033    0.078   29.421  -72.178    0.078   29.421  -71.033  -72.178     21.6949     19.4653
2020/11/05_19:30:58.841701031  9864.3   88.40  296.00  -71.043    0.077   29.117  -72.200    0.077   29.117  -71.043  -72.200     21.7177     19.5217
2020/11/05_19:30:59.855460882  9864.3   88.40  296.01  -71.046    0.075   30.845  -72.224    0.075   30.845  -71.046  -72.224     21.6233     19.3374
2020/11/05_19:31:00.869220972  9864.3   88.40  296.02  -71.055    0.075   30.974  -72.215    0.075   30.974  -71.055  -72.215     21.6883     19.1982
2020/11/05_19:31:01.882981062  9864.3   88.40  296.02  -70.992    0.071   36.961  -72.178    0.071   36.961  -70.992  -72.178     21.7078     19.1177
2020/11/05_19:31:02.896740913  9864.3   88.40  296.03  -70.984    0.072   35.596  -72.132    0.072   35.596  -70.984  -72.132     21.7451     19.0986
2020/11/05_19:31:03.910501003  9864.3   88.40  296.03  -70.997    0.074   35.078  -72.103    0.074   35.078  -70.997  -72.103     21.7946     19.0201
2020/11/05_19:31:04.924261093  9864.3   88.40  296.03  -71.011    0.074   34.973  -72.129    0.074   34.973  -71.011  -72.129     21.8764     18.9971
2020/11/05_19:31:05.938020945  9864.3   88.40  296.03  -71.004    0.073   37.780  -72.145    0.073   37.780  -71.004  -72.145     21.9597     19.0857
2020/11/05_19:31:06.951781034  9864.3   88.40  296.03  -71.015    0.074   34.420  -72.185    0.074   34.420  -71.015  -72.185     21.7501     19.0529
2020/11/05_19:31:07.965540886  9864.3   88.40  296.03  -70.990    0.073   38.146  -72.117    0.073   38.146  -70.990  -72.117     21.4299     19.0287
2020/11/05_19:31:08.979300976  9864.3   88.40  296.04  -71.003    0.073   36.466  -72.120    0.073   36.466  -71.003  -72.120     21.1524     19.0516
2020/11/05_19:31:09.993061066  9864.3   88.40  296.04  -71.018    0.073   33.975  -72.154    0.073   33.975  -71.018  -72.154      21.006     18.9616
2020/11/05_19:31:11.006820917  9864.3   88.40  296.03  -71.006    0.074   36.782  -72.138    0.074   36.782  -71.006  -72.138     21.3037      19.064
2020/11/05_19:31:12.020581007  9864.3   88.40  296.03  -71.009    0.076   33.960  -72.135    0.076   33.960  -71.009  -72.135     21.6334     19.3887
2020/11/05_19:31:13.034341097  9864.3   88.40  296.04  -71.024    0.075   32.809  -72.149    0.075   32.809  -71.024  -72.149     21.8041      19.563
2020/11/05_19:31:14.048100948  9864.3   88.40  296.03  -71.021    0.076   32.962  -72.124    0.076   32.962  -71.021  -72.124     22.0033     19.4805
2020/11/05_19:31:15.061861038  9864.3   88.40  296.04  -71.018    0.075   32.949  -72.187    0.075   32.949  -71.018  -72.187     22.0876     19.3531
2020/11/05_19:31:16.075620890  9864.3   88.40  296.04  -71.020    0.077   30.835  -72.162    0.077   30.835  -71.020  -72.162     22.0765      19.214
2020/11/05_19:31:17.089380980  9864.3   88.40  296.03  -71.023    0.077   29.646  -72.164    0.077   29.646  -71.023  -72.164     22.0233      19.072
2020/11/05_19:31:18.103141069  9864.3   88.40  296.05  -71.012    0.076   32.594  -72.146    0.076   32.594  -71.012  -72.146     21.9815     19.0521
2020/11/05_19:31:19.116900921  9864.3   88.40  296.04  -71.036    0.078   30.011  -72.173    0.078   30.011  -71.036  -72.173     21.6573     18.9495
2020/11/05_19:31:20.130661011  9864.3   88.40  296.05  -71.029    0.079   28.799  -72.192    0.079   28.799  -71.029  -72.192     21.1489     18.6827
2020/11/05_19:31:21.144421101  9864.3   88.40  296.05  -71.021    0.078   29.377  -72.160    0.078   29.377  -71.021  -72.160     21.0892     18.6132
# NOTE: end of file encountered
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1    HLnaTemp    VLnaTemp
2020/11/05_19:31:22.158180952  9864.3   88.40  296.05  -71.041    0.078   27.301  -72.204    0.078   27.301  -71.041  -72.204     21.1905     18.8045
2020/11/05_19:31:23.171941042  9864.3   88.40  296.04  -71.034    0.077   27.908  -72.180    0.077   27.908  -71.034  -72.180     21.5801     19.4224
2020/11/05_19:31:24.185700893  9864.3   88.40  296.04  -71.009    0.076   32.219  -72.134    0.076   32.219  -71.009  -72.134     21.7953     19.7295
2020/11/05_19:31:25.199460983  9864.3   88.40  296.04  -71.028    0.076   29.978  -72.190    0.076   29.978  -71.028  -72.190     21.5711     19.5254
2020/11/05_19:31:26.213221073  9864.3   88.40  296.03  -71.018    0.075   32.444  -72.190    0.075   32.444  -71.018  -72.190     21.4452     19.3053
2020/11/05_19:31:27.226980925  9864.3   88.40  296.03  -71.021    0.075   30.634  -72.185    0.075   30.634  -71.021  -72.185     21.6487     19.2458
2020/11/05_19:31:28.240741014  9864.3   88.40  296.03  -71.011    0.076   29.514  -72.177    0.076   29.514  -71.011  -72.177     21.7579     19.4389
2020/11/05_19:31:29.254501104  9864.3   88.40  296.03  -71.029    0.078   27.710  -72.176    0.078   27.710  -71.029  -72.176     21.7316     19.3385
2020/11/05_19:31:30.268260956  9864.3   88.40  296.03  -71.023    0.078   29.007  -72.141    0.078   29.007  -71.023  -72.141      21.829     19.3403
2020/11/05_19:31:31.282021046  9864.3   88.40  296.04  -71.015    0.075   32.031  -72.176    0.075   32.031  -71.015  -72.176     22.0654     19.4165
2020/11/05_19:31:32.295780897  9864.3   88.40  296.04  -71.020    0.077   29.578  -72.162    0.077   29.578  -71.020  -72.162     22.0288     19.3918
2020/11/05_19:31:33.309540987  9864.3   88.40  296.03  -71.024    0.077   29.013  -72.139    0.077   29.013  -71.024  -72.139     21.7713      19.557
2020/11/05_19:31:34.323301077  9864.3   88.40  296.03  -71.012    0.077   29.882  -72.141    0.077   29.882  -71.012  -72.141     21.5667     19.4902
2020/11/05_19:31:35.337060928  9864.3   88.40  296.03  -71.012    0.075   31.229  -72.146    0.075   31.229  -71.012  -72.146     21.7491      19.481
2020/11/05_19:31:36.350821018  9864.3   88.40  296.04  -71.023    0.076   31.027  -72.135    0.076   31.027  -71.023  -72.135     21.9667     19.4179
2020/11/05_19:31:37.364581108  9864.3   88.40  296.03  -71.024    0.078   28.324  -72.161    0.078   28.324  -71.024  -72.161     21.9709      19.077
2020/11/05_19:31:38.378340960  9864.3   88.40  296.04  -71.031    0.080   28.174  -72.138    0.080   28.174  -71.031  -72.138     21.5706     19.0756
2020/11/05_19:31:39.392101049  9864.3   88.40  296.04  -71.031    0.078   29.192  -72.156    0.078   29.192  -71.031  -72.156      21.439     19.1627
2020/11/05_19:31:40.405860901  9864.3   88.40  296.04  -71.042    0.077   29.062  -72.186    0.077   29.062  -71.042  -72.186     21.6346     19.3864
2020/11/05_19:31:41.419620991  9864.3   88.40  296.04  -71.042    0.077   29.226  -72.162    0.077   29.226  -71.042  -72.162     21.8559     19.4403
2020/11/05_19:31:42.433381081  9864.3   88.40  296.05  -71.040    0.077   31.648  -72.164    0.077   31.648  -71.040  -72.164     21.7502     19.1207
2020/11/05_19:31:43.447140932  9864.3   88.40  296.04  -71.016    0.075   32.625  -72.153    0.075   32.625  -71.016  -72.153     21.4259     18.8032
2020/11/05_19:31:44.460901022  9864.3   88.40  296.05  -71.018    0.074   33.528  -72.154    0.074   33.528  -71.018  -72.154      21.273     18.7651
2020/11/05_19:31:45.474661112  9864.3   88.40  296.05  -71.033    0.077   31.403  -72.147    0.077   31.403  -71.033  -72.147      20.989     18.6343
2020/11/05_19:31:46.488420963  9864.3   88.40  296.05  -71.010    0.077   31.860  -72.119    0.077   31.860  -71.010  -72.119     21.0159      18.743
2020/11/05_19:31:47.502181053  9864.3   88.40  296.05  -71.041    0.078   27.140  -72.171    0.078   27.140  -71.041  -72.171      21.157     18.8789
2020/11/05_19:31:48.515940905  9864.3   88.40  296.05  -71.043    0.079   30.005  -72.160    0.079   30.005  -71.043  -72.160     21.3579     19.1603
2020/11/05_19:31:49.529700994  9864.3   88.40  296.06  -71.029    0.079   29.475  -72.131    0.079   29.475  -71.029  -72.131     21.9305     19.3519
2020/11/05_19:31:50.543461084  9864.3   88.40  296.06  -71.039    0.078   28.438  -72.137    0.078   28.438  -71.039  -72.137     22.0387     19.1942
2020/11/05_19:31:51.557220936  9864.3   88.40  296.05  -71.032    0.076   30.710  -72.134    0.076   30.710  -71.032  -72.134     21.9619     19.0756
# NOTE: end of file encountered
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1    HLnaTemp    VLnaTemp
2020/11/05_19:31:52.570981026  9864.3   88.40  296.06  -71.050    0.079   27.421  -72.177    0.079   27.421  -71.050  -72.177     21.6358     18.9463
2020/11/05_19:31:53.584741116  9864.3   88.40  296.06  -71.057    0.079   26.712  -72.204    0.079   26.712  -71.057  -72.204     21.5615     19.1208
2020/11/05_19:31:54.598500967  9864.3   88.40  296.06  -71.054    0.078   29.091  -72.187    0.078   29.091  -71.054  -72.187      21.675     19.2145
2020/11/05_19:31:55.612261057  9864.3   88.40  296.06  -71.056    0.080   27.317  -72.174    0.080   27.317  -71.056  -72.174     21.9264     19.3505
2020/11/05_19:31:56.626020908  9864.3   88.40  296.06  -71.050    0.079   27.094  -72.185    0.079   27.094  -71.050  -72.185     21.9091     19.3139
2020/11/05_19:31:57.639780998  9864.3   88.40  296.06  -71.032    0.077   30.017  -72.160    0.077   30.017  -71.032  -72.160     22.1243     19.3401
2020/11/05_19:31:58.653541088  9864.3   88.40  296.05  -71.039    0.077   29.439  -72.122    0.077   29.439  -71.039  -72.122     22.1718     19.1878
2020/11/05_19:31:59.667300940  9864.3   88.40  296.11  -71.060    0.080   27.066  -72.158    0.080   27.066  -71.060  -72.158     22.0087     18.9479
2020/11/05_19:32:00.681061029  9864.3   88.40  296.09  -71.031    0.077   29.526  -72.157    0.077   29.526  -71.031  -72.157      21.598     18.7788
2020/11/05_19:32:01.694820881  9864.3   88.40  296.08  -71.047    0.079   28.036  -72.144    0.079   28.036  -71.047  -72.144     21.2943     18.8196
2020/11/05_19:32:02.708580971  9864.3   88.40  296.09  -71.060    0.077   30.312  -72.136    0.077   30.312  -71.060  -72.136     21.4291     19.1066
2020/11/05_19:32:03.722341061  9864.3   88.40  296.03  -71.065    0.077   30.181  -72.154    0.077   30.181  -71.065  -72.154     21.8355     19.2863
2020/11/05_19:32:04.736100912  9864.3   88.40  296.03  -71.044    0.076   31.661  -72.137    0.076   31.661  -71.044  -72.137     21.9004     19.3801
2020/11/05_19:32:05.749861002  9864.3   88.40  296.03  -71.047    0.078   28.537  -72.140    0.078   28.537  -71.047  -72.140     22.0288     19.3772
2020/11/05_19:32:06.763621092  9864.3   88.40  296.04  -71.049    0.080   27.404  -72.171    0.080   27.404  -71.049  -72.171     22.1268     19.3441
